Board Number,Board Name,Board Type,School Number,School Name,School Type,School Level,School Language,Grade Range,City
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),902344,Algoma Education Connection Secondary School,Public,Secondary,English,9-12,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),019186,Anna McCrea Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),043362,Ben R McMullin Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),054542,Blind River Public School,Public,Elementary,English,JK-8,Blind River
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),490822,Boreal French Immersion Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),137967,Central Algoma Intermediate School,Public,Elementary,English,7-8,Desbarats
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),285552,Central Algoma Public School,Public,Elementary,English,JK-6,Desbarats
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891347,Central Algoma Secondary School,Public,Secondary,English,9-12,Desbarats
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),093548,Central Avenue Public School,Public,Elementary,English,JK-8,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),900869,Chapleau High School,Public,Secondary,English,9-12,Chapleau
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),101214,Chapleau Public School,Public,Elementary,English,JK-8,Chapleau
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),161276,East View Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),165042,Echo Bay Central Public School,Public,Elementary,English,JK-6,Echo Bay
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),293055,Elliot Lake Intermediate School,Public,Elementary,English,7-8,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),908010,Elliot Lake Secondary School,Public,Secondary,English,9-12,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),186783,Esten Park Public School,Public,Elementary,English,JK-8,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),202614,Francis H Clergue Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),227331,Grand View Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),230561,Greenwood Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),237191,H M Robbins Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),917370,Hornepayne High School,Public,Secondary,English,9-12,Hornepayne
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),264750,Hornepayne Public School,Public,Elementary,English,JK-8,Hornepayne
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),278270,Isabel Fletcher Public School,Public,Elementary,English,JK-6,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),302350,Kiwedin Public School,Public,Elementary,English,JK-6,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),920533,Korah Collegiate and Vocational School,Public,Secondary,English,9-12,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),018309,Korah Intermediate School,Public,Elementary,English,7-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),926086,Michipicoten High School,Public,Secondary,English,9-12,Wawa
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),195200,Mountain View Public School,Public,Elementary,English,JK-8,Goulais River
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891150,North Shore Adolescent Education School,Public,Secondary,English,9-12,Elliot Lake
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),410870,Northern Heights Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),434922,Parkland Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),442054,Pinewood Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),462616,Queen Elizabeth Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),468339,R M Moore Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),485497,River View Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),515396,Sir James Dunn Public School,Public,Elementary,English,JK-8,Wawa
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),530603,St Joseph Island Central Public School,Public,Elementary,English,JK-6,Richards Landing
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),958050,Superior Heights Collegiate and Vocational School,Public,Secondary,English,9-12,Sault Ste. Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),672610,Superior Heights Community Education,Public,Elementary,English,7-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),106913,Superior Heights Intermediate School,Public,Elementary,English,7-8,Sault Ste. Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),548413,Tarentorus Public School,Public,Elementary,English,JK-8,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),551660,Thessalon Public School,Public,Elementary,English,JK-6,Thessalon
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),895270,W C Eaket Secondary School,Public,Secondary,English,9-12,Blind River
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),953148,White Pines Collegiate and Vocational School,Public,Secondary,English,9-12,Sault Ste Marie
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),144872,White Pines Intermediate School,Public,Elementary,English,7-8,SAULT STE. MARIE
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),765031,Archbishop O'Sullivan Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),827681,Cathedrale Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),708011,Georges Vanier Catholic School,Catholic,Elementary,English,JK-8,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),715298,Holy Cross Catholic Secondary School,Catholic,Secondary,English,9-12,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),717703,Holy Name Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),865257,Holy Name of Mary Catholic School,Catholic,Elementary,English,JK-8,Marysville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),719919,Holy Rosary Catholic School,Catholic,Elementary,English,JK-8,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),735523,J J O'Neill Catholic School,Catholic,Elementary,English,JK-8,Napanee
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),724068,John XXIII Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),728420,Loyola Community Learning Centre,Catholic,Secondary,English,9-12,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),773875,Mother Teresa Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),835099,Nicholson Catholic College,Catholic,Secondary,English,9-12,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),690932,Nicholson Catholic College (Grade 7 & 8),Catholic,Elementary,English,7-8,Trenton
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),742279,Our Lady of Fatima Catholic School,Catholic,Elementary,English,JK-8,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),746568,Our Lady of Lourdes Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),746690,Our Lady of Mercy Catholic School,Catholic,Elementary,English,JK-8,Bancroft
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),706264,Our Lady of Mount Carmel Catholic School,Catholic,Elementary,English,JK-8,Amherstview
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),752932,Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,English,9-12,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),756830,Sacred Heart Catholic School,Catholic,Elementary,English,JK-8,Marmora
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),764370,Sacred Heart Catholic School,Catholic,Elementary,English,JK-8,Batawa
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),868370,Sacred Heart Catholic School,Catholic,Elementary,English,JK-8,Wolfe Island
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),781142,St Carthagh Catholic School,Catholic,Elementary,English,JK-8,Tweed
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),756642,St Francis of Assisi Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),796220,St Gregory Catholic School,Catholic,Elementary,English,JK-8,Picton
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),799556,St James Major,Catholic,Elementary,English,JK-8,Sharbot Lake
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),815330,St Joseph Catholic School,Catholic,Elementary,English,JK-8,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),830984,St Marguerite Bourgeoys Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),823570,St Martha Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),824330,St Martin of Tours Catholic School,Catholic,Elementary,English,JK-8,Whitney
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),831840,St Mary Catholic School,Catholic,Elementary,English,JK-6,Trenton
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),865125,St Mary Catholic School,Catholic,Elementary,English,JK-8,Shannonville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),834688,St Michael Catholic School,Catholic,Elementary,English,JK-8,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),764248,St Patrick Catholic School,Catholic,Elementary,English,JK-8,Erinsville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841773,St Patrick Catholic School,Catholic,Elementary,English,JK-8,Harrowsmith
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),706744,St Paul Catholic Elementary School,Catholic,Elementary,English,7-8,Trenton
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),842761,St Paul Catholic School,Catholic,Elementary,English,JK-8,Kingston
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841358,St Paul Catholic Secondary School,Catholic,Secondary,English,9-12,Trenton
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),845493,St Peter Catholic School,Catholic,Elementary,English,JK-8,Trenton
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),851752,St Theresa Catholic Secondary School,Catholic,Secondary,English,9-12,Belleville
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),856150,St Thomas More Catholic School,Catholic,Elementary,English,JK-8,Kingston
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),019313,Anne Hathaway Public School,Public,Elementary,English,JK-6,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),893048,Avon Maitland District E-learning Centre,Public,Secondary,English,9-12,Clinton
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),028673,Avon Public School,Public,Elementary,English,JK-6,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),039306,Bedford Public School,Public,Elementary,English,JK-6,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),272319,Bluewater Coast Elementary Public School,Public,Elementary,English,JK-6,Hensall
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),066699,Brookside Public School,Public,Elementary,English,JK-8,Lucknow
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),899569,Central Huron Secondary School,Public,Secondary,English,9-12,Clinton
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),093718,Central Perth Elementary School,Public,Elementary,English,JK-8,Sebringville
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),112917,Clinton Public School,Public,Elementary,English,JK-8,Clinton
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),145912,Downie Central Public School,Public,Elementary,English,JK-8,St Pauls
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),175170,Elma Township Public School,Public,Elementary,English,JK-8,Atwood
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),190527,Exeter Elementary School,Public,Elementary,English,JK-6,Exeter
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),953776,F E Madill Secondary School,Public,Secondary,English,9-12,Wingham
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),181908,F. E. Madill Elementary,Public,Elementary,English,7-8,Wingham
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),450242,GDCI - Elementary,Public,Elementary,English,7-8,Goderich
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),913600,Goderich District Collegiate Institute,Public,Secondary,English,9-12,Goderich
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),478133,Goderich Public School,Public,Elementary,English,JK-6,Goderich
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),242527,Hamlet Public School,Public,Elementary,English,JK-6,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),268003,Howick Central Public School,Public,Elementary,English,JK-8,Gorrie
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),268640,Hullett Central Public School,Public,Elementary,English,JK-8,Londesborough
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),273694,Huron Centennial Public School,Public,Elementary,English,JK-8,Brucefield
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),923095,Listowel District Secondary School,Public,Secondary,English,9-12,Listowel
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),163619,Listowel Eastdale Public School,Public,Elementary,English,JK-6,Listowel
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),285535,Little Falls Public School,Public,Elementary,English,JK-6,St Marys
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),517103,Maitland River Elementary Public School,Public,Elementary,English,JK-6,Wingham
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),366021,Milverton Public School,Public,Elementary,English,JK-8,Milverton
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),135064,Mitchell District Elementary Public School,Public,Elementary,English,7-8,Mitchell
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),927120,Mitchell District High School,Public,Secondary,English,9-12,Mitchell
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),372781,Mornington Central Public School,Public,Elementary,English,JK-8,Newton
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),406040,North Easthope Public School,Public,Elementary,English,JK-8,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),459441,North Perth Westfield Elementary School,Public,Elementary,English,JK-8,Listowel
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),578519,North Woods Elementary School,Public,Elementary,English,JK-6,Ethel
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),490040,Romeo Public School,Public,Elementary,English,JK-6,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),504475,Seaforth Public School,Public,Elementary,English,JK-8,Seaforth
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),507725,Shakespeare Public School,Public,Elementary,English,JK-6,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),943118,South Huron District High School,Public,Secondary,English,9-12,Exeter
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),469900,South Huron Elementary Public School,Public,Elementary,English,7-8,Exeter
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),523267,South Perth Centennial Public School,Public,Elementary,English,JK-8,St Marys
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),528650,Sprucedale Public School,Public,Elementary,English,JK-8,Shakespeare
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),944807,St Marys D.C. & V. I. High School,Public,Secondary,English,9-12,St Marys
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),100438,St Marys D.C. & V.I. - Elementary Elementary Public School,Public,Elementary,English,7-8,St. Marys
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),535508,Stephen Central Public School,Public,Elementary,English,JK-6,Dashwood
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),893395,Stratford District Secondary School,Public,Secondary,English,9-12,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),097284,Stratford Intermediate School,Public,Elementary,English,7-8,Stratford
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),566667,Upper Thames Elementary School,Public,Elementary,English,JK-8,Mitchell
B80012,Bloorview SA,Provincial/Hospital,417556,Bloorview School Authority,Hospital,Elementary,English,JK-8,Toronto
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),010472,Alexandra Community School,Public,Elementary,English,JK-8,Owen Sound
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),011606,Amabel-Sauble Community School,Public,Elementary,English,JK-8,Sauble Beach
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),022322,Arran Tara Elementary School,Public,Elementary,English,JK-8,Tara
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),552585,Beaver Valley Community School,Public,Elementary,English,JK-8,Thornbury
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),340804,Beavercrest Community School,Public,Elementary,English,JK-8,Markdale
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),918587,Bluewater Alternative Education School,Public,Secondary,English,9-12,Chesley
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),067709,Bruce Peninsula District School,Public,Elementary,English,JK-8,Lion s Head
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),896969,Bruce Peninsula District School,Public,Secondary,English,9-12,Lion s Head
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),169200,Chesley District Community School,Public,Elementary,English,JK-8,Chesley
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),135143,Dawnview Public School,Public,Elementary,English,JK-6,Hanover
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),458554,Dundalk & Proton Community School,Public,Elementary,English,JK-2,Dundalk
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),331307,East Ridge Community School,Public,Elementary,English,JK-8,Owen Sound
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),167649,Egremont Community School,Public,Elementary,English,JK-8,Holstein
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),293776,Elgin Market Public School,Public,Elementary,English,JK-8,Kincardine
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),524239,G C Huston Public School,Public,Elementary,English,JK-8,Southampton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),180789,Georgian Bay Community School,Public,Elementary,English,JK-8,Meaford
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),925438,Georgian Bay Community School Secondary School,Public,Secondary,English,9-12,Meaford
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),914444,Grey Highlands Secondary School,Public,Secondary,English,9-12,Flesherton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),281131,Hanover Heights Community School,Public,Elementary,English,JK-8,Hanover
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),253316,Hepworth Central Public School,Public,Elementary,English,JK-8,Hepworth
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),152820,Highpoint Community Elementary School,Public,Elementary,English,1-8,Dundalk
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),257168,Hillcrest Central School,Public,Elementary,English,JK-8,Teeswater
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),257869,Hillcrest Elementary School,Public,Elementary,English,JK-8,Owen Sound
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),262935,Holland-Chatsworth Central School,Public,Elementary,English,JK-8,Holland Centre
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),273775,Huron Heights Public School,Public,Elementary,English,1-8,Kincardine
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),007681,John Diefenbaker Senior School,Public,Elementary,English,7-8,Hanover
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),915556,John Diefenbaker Senior School,Public,Secondary,English,9-12,Hanover
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),291030,Keppel-Sarawak Elementary School,Public,Elementary,English,JK-6,Owen Sound
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),919454,Kincardine District Secondary School,Public,Secondary,English,9-12,Kincardine
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),151668,Kincardine District Senior School,Public,Elementary,English,7-8,Kincardine
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),293750,Kincardine Township-Tiverton Public School,Public,Elementary,English,JK-3,Kincardine
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),323900,Lucknow Central Public School,Public,Elementary,English,JK-8,Lucknow
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),198978,Macphail Memorial Elementary School,Public,Elementary,English,JK-8,Flesherton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),364290,Mildmay-Carrick Central School,Public,Elementary,English,JK-8,Mildmay
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),401129,Normanby Community School,Public,Elementary,English,JK-8,Ayton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),403741,Northport Elementary School,Public,Elementary,English,JK-8,Port Elgin
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),093939,Osprey Central School,Public,Elementary,English,JK-8,Maxwell
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),951692,Owen Sound District Secondary School Secondary School,Public,Secondary,English,9-12,Owen Sound
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),431028,Paisley Central School,Public,Elementary,English,JK-8,Paisley
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),605743,Peninsula Shores District School,Public,Elementary,English,JK-8,Wiarton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),953253,Peninsula Shores District School,Public,Secondary,English,9-12,Wiarton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),450910,Port Elgin-Saugeen Central School,Public,Elementary,English,JK-8,Port Elgin
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),484970,Ripley-Huron Community - Junior Campus School,Public,Elementary,English,JK-8,Ripley
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),940127,Saugeen District Secondary School,Public,Secondary,English,9-12,Port Elgin
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),290604,Saugeen District Senior School,Public,Elementary,English,7-8,Port Elgin
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),155683,Spruce Ridge Community School,Public,Elementary,English,JK-8,Durham
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),529826,St Edmunds Public School,Public,Elementary,English,JK-3,Tobermory
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),540200,Sullivan Community School,Public,Elementary,English,JK-8,Chatsworth
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),569565,Walkerton District Community School,Public,Elementary,English,JK-8,Walkerton
B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),950262,Walkerton District Community School,Public,Secondary,English,9-12,Walkerton
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),688088,Assumption College School High School,Catholic,Secondary,English,9-12,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),690015,Blessed Sacrament School,Catholic,Elementary,English,JK-8,Burford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),696900,Christ the King School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),714453,Holy Cross School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),716960,Holy Family School,Catholic,Elementary,English,JK-8,Paris
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),720232,Holy Trinity Catholic High School,Catholic,Secondary,English,9-12,Simcoe
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),750259,Madonna Della Libera Catholic Elementary School,Catholic,Elementary,English,JK-8,BRANTFORD
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),736481,Notre Dame Catholic Catholic Elementary School,Catholic,Elementary,English,JK-8,Caledonia
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),739200,Notre Dame School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),743968,Our Lady of Fatima School,Catholic,Elementary,English,JK-8,Courtland
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),749125,Our Lady of Providence Catholic Elementary School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),753084,Resurrection School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),762756,Sacred Heart Catholic Elementary School,Catholic,Elementary,English,JK-8,PARIS
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),759309,Sacred Heart School,Catholic,Elementary,English,JK-8,Langton
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),751898,St John's College,Catholic,Secondary,English,9-12,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),704940,St. Basil Catholic Elementary School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),779067,St. Bernard of Clairvaux School,Catholic,Elementary,English,JK-8,Waterford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),782050,St. Cecilia's School,Catholic,Elementary,English,JK-8,Port Dover
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),789984,St. Frances Cabrini School,Catholic,Elementary,English,JK-8,Delhi
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),793256,St. Gabriel Catholic Catholic Elementary School,Catholic,Elementary,English,JK-8,Brantford
B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),810827,St. Joseph's School,Catholic,Elementary,English,JK-8,Simcoe
