REF_DATE,NOC Major Group,National Occupational Classification (NOC),Economic region code,Economic region name,Number Employed (thousands)
2009,03,Health occupations,3515,Kingston-Pembroke,17.0
2009,30,Professional occupations in nursing,3515,Kingston-Pembroke,4.5
2009,31,Professional occupations in health (except nursing),3515,Kingston-Pembroke,2.5
2009,32,Technical occupations in health,3515,Kingston-Pembroke,4.5
2009,34,Assisting occupations in support of health services,3515,Kingston-Pembroke,5.5
2009,04,"Occupations in education, law and social, community and government services",3515,Kingston-Pembroke,25.0
2009,40,Professional occupations in education services,3515,Kingston-Pembroke,9.4
2009,41,"Professional occupations in law and social, community and government services",3515,Kingston-Pembroke,4.9
2009,42,"Paraprofessional occupations in legal, social, community and education services",3515,Kingston-Pembroke,3.7
2009,43,Occupations in front-line public protection services,3515,Kingston-Pembroke,2.4
2009,44,"Care providers and educational, legal and public protection support occupations",3515,Kingston-Pembroke,4.6
2009,05,"Occupations in art, culture, recreation and sport",3515,Kingston-Pembroke,4.1
2009,51,Professional occupations in art and culture,3515,Kingston-Pembroke,
2009,52,"Technical occupations in art, culture, recreation and sport",3515,Kingston-Pembroke,2.8
2009,06,Sales and service occupations,3515,Kingston-Pembroke,58.8
2009,62,Retail sales supervisors and specialized sales occupations,3515,Kingston-Pembroke,4.3
2009,63,Service supervisors and specialized service occupations,3515,Kingston-Pembroke,10.5
2009,64,Sales representatives and salespersons - wholesale and retail trade,3515,Kingston-Pembroke,9.6
2009,65,Service representatives and other customer and personal services occupations,3515,Kingston-Pembroke,11.0
2009,66,Sales support occupations,3515,Kingston-Pembroke,8.6
2009,67,"Service support and other service occupations, n.e.c.",3515,Kingston-Pembroke,14.8
2009,07,"Trades, transport and equipment operators and related occupations",3515,Kingston-Pembroke,35.2
2009,72,"Industrial, electrical and construction trades",3515,Kingston-Pembroke,12.8
2009,73,Maintenance and equipment operation trades,3515,Kingston-Pembroke,6.7
2009,74,"Other installers, repairers and servicers and material handlers",3515,Kingston-Pembroke,4.1
2009,75,Transport and heavy equipment operation and related maintenance occupations,3515,Kingston-Pembroke,9.2
2009,76,"Trades helpers, construction labourers and related occupations",3515,Kingston-Pembroke,2.3
2009,08,"Natural resources, agriculture and related production occupations",3515,Kingston-Pembroke,3.3
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3515,Kingston-Pembroke,
2009,84,"Workers in natural resources, agriculture and related production",3515,Kingston-Pembroke,
2009,86,"Harvesting, landscaping and natural resources labourers",3515,Kingston-Pembroke,
2009,09,Occupations in manufacturing and utilities,3515,Kingston-Pembroke,9.2
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3515,Kingston-Pembroke,2.5
2009,94,Processing and manufacturing machine operators and related production workers,3515,Kingston-Pembroke,3.6
2009,95,Assemblers in manufacturing,3515,Kingston-Pembroke,1.7
2009,96,"Labourers in processing, manufacturing and utilities",3515,Kingston-Pembroke,
2009,,"Total employed, all occupations",3520,Muskoka-Kawarthas,170.2
2009,00,Management occupations,3520,Muskoka-Kawarthas,16.6
2009,00,Senior management occupations,3520,Muskoka-Kawarthas,
2009,06,Middle management occupations in retail and wholesale trade and customer services,3520,Muskoka-Kawarthas,8.0
2009,01,"Business, finance and administration occupations",3520,Muskoka-Kawarthas,21.3
2009,11,Professional occupations in business and finance,3520,Muskoka-Kawarthas,2.9
2009,12,Administrative and financial supervisors and administrative occupations,3520,Muskoka-Kawarthas,5.9
2009,13,"Finance, insurance and related business administrative occupations",3520,Muskoka-Kawarthas,2.8
2009,14,Office support occupations,3520,Muskoka-Kawarthas,6.7
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3520,Muskoka-Kawarthas,2.9
2009,02,Natural and applied sciences and related occupations,3520,Muskoka-Kawarthas,7.8
2009,21,Professional occupations in natural and applied sciences,3520,Muskoka-Kawarthas,3.3
2009,22,Technical occupations related to natural and applied sciences,3520,Muskoka-Kawarthas,4.5
2009,03,Health occupations,3520,Muskoka-Kawarthas,10.4
2009,30,Professional occupations in nursing,3520,Muskoka-Kawarthas,2.8
2009,31,Professional occupations in health (except nursing),3520,Muskoka-Kawarthas,1.7
2009,32,Technical occupations in health,3520,Muskoka-Kawarthas,2.1
2009,34,Assisting occupations in support of health services,3520,Muskoka-Kawarthas,3.8
2009,04,"Occupations in education, law and social, community and government services",3520,Muskoka-Kawarthas,18.7
2009,40,Professional occupations in education services,3520,Muskoka-Kawarthas,7.1
2009,41,"Professional occupations in law and social, community and government services",3520,Muskoka-Kawarthas,3.8
2009,42,"Paraprofessional occupations in legal, social, community and education services",3520,Muskoka-Kawarthas,3.6
2009,43,Occupations in front-line public protection services,3520,Muskoka-Kawarthas,1.5
2009,44,"Care providers and educational, legal and public protection support occupations",3520,Muskoka-Kawarthas,2.6
2009,05,"Occupations in art, culture, recreation and sport",3520,Muskoka-Kawarthas,4.4
2009,51,Professional occupations in art and culture,3520,Muskoka-Kawarthas,1.6
2009,52,"Technical occupations in art, culture, recreation and sport",3520,Muskoka-Kawarthas,2.8
2009,06,Sales and service occupations,3520,Muskoka-Kawarthas,46.8
2009,62,Retail sales supervisors and specialized sales occupations,3520,Muskoka-Kawarthas,6.0
2009,63,Service supervisors and specialized service occupations,3520,Muskoka-Kawarthas,7.4
2009,64,Sales representatives and salespersons - wholesale and retail trade,3520,Muskoka-Kawarthas,7.8
2009,65,Service representatives and other customer and personal services occupations,3520,Muskoka-Kawarthas,7.9
2009,66,Sales support occupations,3520,Muskoka-Kawarthas,7.2
2009,67,"Service support and other service occupations, n.e.c.",3520,Muskoka-Kawarthas,10.5
2009,07,"Trades, transport and equipment operators and related occupations",3520,Muskoka-Kawarthas,33.3
2009,72,"Industrial, electrical and construction trades",3520,Muskoka-Kawarthas,14.4
2009,73,Maintenance and equipment operation trades,3520,Muskoka-Kawarthas,8.8
2009,74,"Other installers, repairers and servicers and material handlers",3520,Muskoka-Kawarthas,2.1
2009,75,Transport and heavy equipment operation and related maintenance occupations,3520,Muskoka-Kawarthas,6.4
2009,76,"Trades helpers, construction labourers and related occupations",3520,Muskoka-Kawarthas,1.5
2009,08,"Natural resources, agriculture and related production occupations",3520,Muskoka-Kawarthas,3.6
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3520,Muskoka-Kawarthas,2.2
2009,84,"Workers in natural resources, agriculture and related production",3520,Muskoka-Kawarthas,
2009,86,"Harvesting, landscaping and natural resources labourers",3520,Muskoka-Kawarthas,
2009,09,Occupations in manufacturing and utilities,3520,Muskoka-Kawarthas,7.4
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3520,Muskoka-Kawarthas,1.5
2009,94,Processing and manufacturing machine operators and related production workers,3520,Muskoka-Kawarthas,3.3
2009,95,Assemblers in manufacturing,3520,Muskoka-Kawarthas,1.9
2009,96,"Labourers in processing, manufacturing and utilities",3520,Muskoka-Kawarthas,
2009,,"Total employed, all occupations",3530,Toronto,2961.4
2009,00,Management occupations,3530,Toronto,327.9
2009,00,Senior management occupations,3530,Toronto,21.8
2009,06,Middle management occupations in retail and wholesale trade and customer services,3530,Toronto,126.4
2009,01,"Business, finance and administration occupations",3530,Toronto,592.8
2009,11,Professional occupations in business and finance,3530,Toronto,171.8
2009,12,Administrative and financial supervisors and administrative occupations,3530,Toronto,145.4
2009,13,"Finance, insurance and related business administrative occupations",3530,Toronto,37.3
2009,14,Office support occupations,3530,Toronto,170.7
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3530,Toronto,67.6
2009,02,Natural and applied sciences and related occupations,3530,Toronto,230.7
2009,21,Professional occupations in natural and applied sciences,3530,Toronto,141.6
2009,22,Technical occupations related to natural and applied sciences,3530,Toronto,89.1
2009,03,Health occupations,3530,Toronto,151.6
2009,30,Professional occupations in nursing,3530,Toronto,39.4
2009,31,Professional occupations in health (except nursing),3530,Toronto,42.2
2009,32,Technical occupations in health,3530,Toronto,35.6
2009,34,Assisting occupations in support of health services,3530,Toronto,34.3
2009,04,"Occupations in education, law and social, community and government services",3530,Toronto,309.2
2009,40,Professional occupations in education services,3530,Toronto,118.6
2009,41,"Professional occupations in law and social, community and government services",3530,Toronto,76.0
2009,42,"Paraprofessional occupations in legal, social, community and education services",3530,Toronto,63.8
2009,43,Occupations in front-line public protection services,3530,Toronto,12.1
2009,44,"Care providers and educational, legal and public protection support occupations",3530,Toronto,38.7
2009,05,"Occupations in art, culture, recreation and sport",3530,Toronto,125.8
2009,51,Professional occupations in art and culture,3530,Toronto,51.8
2009,52,"Technical occupations in art, culture, recreation and sport",3530,Toronto,73.9
2009,06,Sales and service occupations,3530,Toronto,707.9
2009,62,Retail sales supervisors and specialized sales occupations,3530,Toronto,100.8
2009,63,Service supervisors and specialized service occupations,3530,Toronto,89.6
2009,64,Sales representatives and salespersons - wholesale and retail trade,3530,Toronto,150.8
2009,65,Service representatives and other customer and personal services occupations,3530,Toronto,146.0
2009,66,Sales support occupations,3530,Toronto,93.8
2009,67,"Service support and other service occupations, n.e.c.",3530,Toronto,126.9
2009,07,"Trades, transport and equipment operators and related occupations",3530,Toronto,337.9
2009,72,"Industrial, electrical and construction trades",3530,Toronto,109.9
2009,73,Maintenance and equipment operation trades,3530,Toronto,75.7
2009,74,"Other installers, repairers and servicers and material handlers",3530,Toronto,49.4
2009,75,Transport and heavy equipment operation and related maintenance occupations,3530,Toronto,85.1
2009,76,"Trades helpers, construction labourers and related occupations",3530,Toronto,17.8
2009,08,"Natural resources, agriculture and related production occupations",3530,Toronto,21.5
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3530,Toronto,6.2
2009,84,"Workers in natural resources, agriculture and related production",3530,Toronto,5.5
2009,86,"Harvesting, landscaping and natural resources labourers",3530,Toronto,9.7
2009,09,Occupations in manufacturing and utilities,3530,Toronto,156.3
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3530,Toronto,24.2
2009,94,Processing and manufacturing machine operators and related production workers,3530,Toronto,65.4
2009,95,Assemblers in manufacturing,3530,Toronto,36.5
2009,96,"Labourers in processing, manufacturing and utilities",3530,Toronto,30.3
2009,,"Total employed, all occupations",3540,Kitchener-Waterloo-Barrie,634.4
2009,00,Management occupations,3540,Kitchener-Waterloo-Barrie,62.1
2009,00,Senior management occupations,3540,Kitchener-Waterloo-Barrie,2.9
2009,06,Middle management occupations in retail and wholesale trade and customer services,3540,Kitchener-Waterloo-Barrie,22.4
2009,01,"Business, finance and administration occupations",3540,Kitchener-Waterloo-Barrie,92.2
2009,11,Professional occupations in business and finance,3540,Kitchener-Waterloo-Barrie,17.8
2009,12,Administrative and financial supervisors and administrative occupations,3540,Kitchener-Waterloo-Barrie,24.3
2009,13,"Finance, insurance and related business administrative occupations",3540,Kitchener-Waterloo-Barrie,9.4
2009,14,Office support occupations,3540,Kitchener-Waterloo-Barrie,27.9
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3540,Kitchener-Waterloo-Barrie,12.9
2009,02,Natural and applied sciences and related occupations,3540,Kitchener-Waterloo-Barrie,42.6
2009,21,Professional occupations in natural and applied sciences,3540,Kitchener-Waterloo-Barrie,21.0
2009,22,Technical occupations related to natural and applied sciences,3540,Kitchener-Waterloo-Barrie,21.5
2009,03,Health occupations,3540,Kitchener-Waterloo-Barrie,36.7
2009,30,Professional occupations in nursing,3540,Kitchener-Waterloo-Barrie,11.0
2009,31,Professional occupations in health (except nursing),3540,Kitchener-Waterloo-Barrie,6.2
2009,32,Technical occupations in health,3540,Kitchener-Waterloo-Barrie,9.3
2009,34,Assisting occupations in support of health services,3540,Kitchener-Waterloo-Barrie,10.1
2009,04,"Occupations in education, law and social, community and government services",3540,Kitchener-Waterloo-Barrie,73.6
2009,40,Professional occupations in education services,3540,Kitchener-Waterloo-Barrie,35.3
2009,41,"Professional occupations in law and social, community and government services",3540,Kitchener-Waterloo-Barrie,9.9
2009,42,"Paraprofessional occupations in legal, social, community and education services",3540,Kitchener-Waterloo-Barrie,13.9
2009,43,Occupations in front-line public protection services,3540,Kitchener-Waterloo-Barrie,6.3
2009,44,"Care providers and educational, legal and public protection support occupations",3540,Kitchener-Waterloo-Barrie,8.2
2009,05,"Occupations in art, culture, recreation and sport",3540,Kitchener-Waterloo-Barrie,14.2
2009,51,Professional occupations in art and culture,3540,Kitchener-Waterloo-Barrie,3.8
2009,52,"Technical occupations in art, culture, recreation and sport",3540,Kitchener-Waterloo-Barrie,10.4
2009,06,Sales and service occupations,3540,Kitchener-Waterloo-Barrie,152.6
2009,62,Retail sales supervisors and specialized sales occupations,3540,Kitchener-Waterloo-Barrie,18.0
2009,63,Service supervisors and specialized service occupations,3540,Kitchener-Waterloo-Barrie,20.5
2009,64,Sales representatives and salespersons - wholesale and retail trade,3540,Kitchener-Waterloo-Barrie,30.6
2009,65,Service representatives and other customer and personal services occupations,3540,Kitchener-Waterloo-Barrie,27.4
2009,66,Sales support occupations,3540,Kitchener-Waterloo-Barrie,21.2
2009,67,"Service support and other service occupations, n.e.c.",3540,Kitchener-Waterloo-Barrie,34.9
2009,07,"Trades, transport and equipment operators and related occupations",3540,Kitchener-Waterloo-Barrie,99.4
2009,72,"Industrial, electrical and construction trades",3540,Kitchener-Waterloo-Barrie,41.0
2009,73,Maintenance and equipment operation trades,3540,Kitchener-Waterloo-Barrie,19.4
2009,74,"Other installers, repairers and servicers and material handlers",3540,Kitchener-Waterloo-Barrie,11.7
2009,75,Transport and heavy equipment operation and related maintenance occupations,3540,Kitchener-Waterloo-Barrie,22.9
2009,76,"Trades helpers, construction labourers and related occupations",3540,Kitchener-Waterloo-Barrie,4.4
2009,08,"Natural resources, agriculture and related production occupations",3540,Kitchener-Waterloo-Barrie,8.6
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3540,Kitchener-Waterloo-Barrie,1.7
2009,84,"Workers in natural resources, agriculture and related production",3540,Kitchener-Waterloo-Barrie,3.6
2009,86,"Harvesting, landscaping and natural resources labourers",3540,Kitchener-Waterloo-Barrie,3.3
2009,09,Occupations in manufacturing and utilities,3540,Kitchener-Waterloo-Barrie,52.5
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3540,Kitchener-Waterloo-Barrie,8.7
2009,94,Processing and manufacturing machine operators and related production workers,3540,Kitchener-Waterloo-Barrie,20.9
2009,95,Assemblers in manufacturing,3540,Kitchener-Waterloo-Barrie,16.9
2009,96,"Labourers in processing, manufacturing and utilities",3540,Kitchener-Waterloo-Barrie,6.0
2009,,"Total employed, all occupations",3550,Hamilton-Niagara Peninsula,675.3
2009,00,Management occupations,3550,Hamilton-Niagara Peninsula,67.0
2009,00,Senior management occupations,3550,Hamilton-Niagara Peninsula,2.3
2009,06,Middle management occupations in retail and wholesale trade and customer services,3550,Hamilton-Niagara Peninsula,26.6
2009,01,"Business, finance and administration occupations",3550,Hamilton-Niagara Peninsula,102.1
2009,11,Professional occupations in business and finance,3550,Hamilton-Niagara Peninsula,17.6
2009,12,Administrative and financial supervisors and administrative occupations,3550,Hamilton-Niagara Peninsula,28.8
2009,13,"Finance, insurance and related business administrative occupations",3550,Hamilton-Niagara Peninsula,9.8
2009,14,Office support occupations,3550,Hamilton-Niagara Peninsula,32.7
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3550,Hamilton-Niagara Peninsula,13.2
2009,02,Natural and applied sciences and related occupations,3550,Hamilton-Niagara Peninsula,35.9
2009,21,Professional occupations in natural and applied sciences,3550,Hamilton-Niagara Peninsula,17.7
2009,22,Technical occupations related to natural and applied sciences,3550,Hamilton-Niagara Peninsula,18.2
2009,03,Health occupations,3550,Hamilton-Niagara Peninsula,48.3
2009,30,Professional occupations in nursing,3550,Hamilton-Niagara Peninsula,11.1
2009,31,Professional occupations in health (except nursing),3550,Hamilton-Niagara Peninsula,8.2
2009,32,Technical occupations in health,3550,Hamilton-Niagara Peninsula,12.6
2009,34,Assisting occupations in support of health services,3550,Hamilton-Niagara Peninsula,16.4
2009,04,"Occupations in education, law and social, community and government services",3550,Hamilton-Niagara Peninsula,70.3
2009,40,Professional occupations in education services,3550,Hamilton-Niagara Peninsula,27.5
2009,41,"Professional occupations in law and social, community and government services",3550,Hamilton-Niagara Peninsula,14.5
2009,42,"Paraprofessional occupations in legal, social, community and education services",3550,Hamilton-Niagara Peninsula,14.9
2009,43,Occupations in front-line public protection services,3550,Hamilton-Niagara Peninsula,5.3
2009,44,"Care providers and educational, legal and public protection support occupations",3550,Hamilton-Niagara Peninsula,8.1
2009,05,"Occupations in art, culture, recreation and sport",3550,Hamilton-Niagara Peninsula,15.7
2009,51,Professional occupations in art and culture,3550,Hamilton-Niagara Peninsula,4.4
2009,52,"Technical occupations in art, culture, recreation and sport",3550,Hamilton-Niagara Peninsula,11.3
2009,06,Sales and service occupations,3550,Hamilton-Niagara Peninsula,176.3
2009,62,Retail sales supervisors and specialized sales occupations,3550,Hamilton-Niagara Peninsula,18.8
2009,63,Service supervisors and specialized service occupations,3550,Hamilton-Niagara Peninsula,23.7
2009,64,Sales representatives and salespersons - wholesale and retail trade,3550,Hamilton-Niagara Peninsula,36.9
2009,65,Service representatives and other customer and personal services occupations,3550,Hamilton-Niagara Peninsula,36.7
2009,66,Sales support occupations,3550,Hamilton-Niagara Peninsula,23.8
2009,67,"Service support and other service occupations, n.e.c.",3550,Hamilton-Niagara Peninsula,36.5
2009,07,"Trades, transport and equipment operators and related occupations",3550,Hamilton-Niagara Peninsula,102.0
2009,72,"Industrial, electrical and construction trades",3550,Hamilton-Niagara Peninsula,35.8
2009,73,Maintenance and equipment operation trades,3550,Hamilton-Niagara Peninsula,24.8
2009,74,"Other installers, repairers and servicers and material handlers",3550,Hamilton-Niagara Peninsula,10.4
2009,75,Transport and heavy equipment operation and related maintenance occupations,3550,Hamilton-Niagara Peninsula,25.9
2009,76,"Trades helpers, construction labourers and related occupations",3550,Hamilton-Niagara Peninsula,5.2
2009,08,"Natural resources, agriculture and related production occupations",3550,Hamilton-Niagara Peninsula,14.6
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3550,Hamilton-Niagara Peninsula,3.3
2009,84,"Workers in natural resources, agriculture and related production",3550,Hamilton-Niagara Peninsula,6.3
2009,86,"Harvesting, landscaping and natural resources labourers",3550,Hamilton-Niagara Peninsula,5.1
2009,09,Occupations in manufacturing and utilities,3550,Hamilton-Niagara Peninsula,43.0
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3550,Hamilton-Niagara Peninsula,8.9
2009,94,Processing and manufacturing machine operators and related production workers,3550,Hamilton-Niagara Peninsula,17.1
2009,95,Assemblers in manufacturing,3550,Hamilton-Niagara Peninsula,9.2
2009,96,"Labourers in processing, manufacturing and utilities",3550,Hamilton-Niagara Peninsula,7.8
2009,,"Total employed, all occupations",3560,London,315.4
2009,00,Management occupations,3560,London,30.3
2009,00,Senior management occupations,3560,London,
2009,06,Middle management occupations in retail and wholesale trade and customer services,3560,London,10.5
2009,01,"Business, finance and administration occupations",3560,London,45.6
2009,11,Professional occupations in business and finance,3560,London,7.3
2009,12,Administrative and financial supervisors and administrative occupations,3560,London,11.7
2009,13,"Finance, insurance and related business administrative occupations",3560,London,3.2
2009,14,Office support occupations,3560,London,16.9
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3560,London,6.5
2009,02,Natural and applied sciences and related occupations,3560,London,20.0
2009,21,Professional occupations in natural and applied sciences,3560,London,10.7
2009,22,Technical occupations related to natural and applied sciences,3560,London,9.3
2009,03,Health occupations,3560,London,24.1
2009,30,Professional occupations in nursing,3560,London,5.4
2009,31,Professional occupations in health (except nursing),3560,London,6.0
2009,32,Technical occupations in health,3560,London,6.3
2009,34,Assisting occupations in support of health services,3560,London,6.3
2009,04,"Occupations in education, law and social, community and government services",3560,London,36.4
2009,40,Professional occupations in education services,3560,London,15.9
2009,41,"Professional occupations in law and social, community and government services",3560,London,7.0
2009,42,"Paraprofessional occupations in legal, social, community and education services",3560,London,7.8
2009,43,Occupations in front-line public protection services,3560,London,2.8
2009,44,"Care providers and educational, legal and public protection support occupations",3560,London,2.8
2009,05,"Occupations in art, culture, recreation and sport",3560,London,7.8
2009,51,Professional occupations in art and culture,3560,London,2.5
2009,52,"Technical occupations in art, culture, recreation and sport",3560,London,5.3
2009,06,Sales and service occupations,3560,London,78.4
2009,62,Retail sales supervisors and specialized sales occupations,3560,London,9.8
2009,63,Service supervisors and specialized service occupations,3560,London,12.4
2009,64,Sales representatives and salespersons - wholesale and retail trade,3560,London,14.4
2009,65,Service representatives and other customer and personal services occupations,3560,London,14.8
2009,66,Sales support occupations,3560,London,10.4
2009,67,"Service support and other service occupations, n.e.c.",3560,London,16.6
2009,07,"Trades, transport and equipment operators and related occupations",3560,London,47.7
2009,72,"Industrial, electrical and construction trades",3560,London,15.8
2009,73,Maintenance and equipment operation trades,3560,London,11.4
2009,74,"Other installers, repairers and servicers and material handlers",3560,London,5.1
2009,75,Transport and heavy equipment operation and related maintenance occupations,3560,London,12.9
2009,76,"Trades helpers, construction labourers and related occupations",3560,London,2.4
2009,08,"Natural resources, agriculture and related production occupations",3560,London,6.6
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3560,London,1.8
2009,84,"Workers in natural resources, agriculture and related production",3560,London,2.9
2009,86,"Harvesting, landscaping and natural resources labourers",3560,London,1.9
2009,09,Occupations in manufacturing and utilities,3560,London,18.5
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3560,London,4.4
2009,94,Processing and manufacturing machine operators and related production workers,3560,London,7.0
2009,95,Assemblers in manufacturing,3560,London,4.9
2009,96,"Labourers in processing, manufacturing and utilities",3560,London,2.3
2009,,"Total employed, all occupations",3570,Windsor-Sarnia,288.2
2009,00,Management occupations,3570,Windsor-Sarnia,26.5
2009,00,Senior management occupations,3570,Windsor-Sarnia,
2009,06,Middle management occupations in retail and wholesale trade and customer services,3570,Windsor-Sarnia,9.6
2009,01,"Business, finance and administration occupations",3570,Windsor-Sarnia,38.1
2009,11,Professional occupations in business and finance,3570,Windsor-Sarnia,6.0
2009,12,Administrative and financial supervisors and administrative occupations,3570,Windsor-Sarnia,11.8
2009,13,"Finance, insurance and related business administrative occupations",3570,Windsor-Sarnia,3.5
2009,14,Office support occupations,3570,Windsor-Sarnia,11.8
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3570,Windsor-Sarnia,5.0
2009,02,Natural and applied sciences and related occupations,3570,Windsor-Sarnia,17.0
2009,21,Professional occupations in natural and applied sciences,3570,Windsor-Sarnia,10.2
2009,22,Technical occupations related to natural and applied sciences,3570,Windsor-Sarnia,6.8
2009,03,Health occupations,3570,Windsor-Sarnia,23.6
2009,30,Professional occupations in nursing,3570,Windsor-Sarnia,7.1
2009,31,Professional occupations in health (except nursing),3570,Windsor-Sarnia,4.4
2009,32,Technical occupations in health,3570,Windsor-Sarnia,6.3
2009,34,Assisting occupations in support of health services,3570,Windsor-Sarnia,5.8
2009,04,"Occupations in education, law and social, community and government services",3570,Windsor-Sarnia,29.4
2009,40,Professional occupations in education services,3570,Windsor-Sarnia,12.1
2009,41,"Professional occupations in law and social, community and government services",3570,Windsor-Sarnia,4.7
2009,42,"Paraprofessional occupations in legal, social, community and education services",3570,Windsor-Sarnia,6.3
2009,43,Occupations in front-line public protection services,3570,Windsor-Sarnia,2.2
2009,44,"Care providers and educational, legal and public protection support occupations",3570,Windsor-Sarnia,4.1
2009,05,"Occupations in art, culture, recreation and sport",3570,Windsor-Sarnia,6.3
2009,51,Professional occupations in art and culture,3570,Windsor-Sarnia,2.0
2009,52,"Technical occupations in art, culture, recreation and sport",3570,Windsor-Sarnia,4.3
2009,06,Sales and service occupations,3570,Windsor-Sarnia,74.5
2009,62,Retail sales supervisors and specialized sales occupations,3570,Windsor-Sarnia,6.2
2009,63,Service supervisors and specialized service occupations,3570,Windsor-Sarnia,10.2
2009,64,Sales representatives and salespersons - wholesale and retail trade,3570,Windsor-Sarnia,13.9
2009,65,Service representatives and other customer and personal services occupations,3570,Windsor-Sarnia,17.3
2009,66,Sales support occupations,3570,Windsor-Sarnia,9.7
2009,67,"Service support and other service occupations, n.e.c.",3570,Windsor-Sarnia,17.1
2009,07,"Trades, transport and equipment operators and related occupations",3570,Windsor-Sarnia,47.3
2009,72,"Industrial, electrical and construction trades",3570,Windsor-Sarnia,17.7
2009,73,Maintenance and equipment operation trades,3570,Windsor-Sarnia,10.7
2009,74,"Other installers, repairers and servicers and material handlers",3570,Windsor-Sarnia,4.9
2009,75,Transport and heavy equipment operation and related maintenance occupations,3570,Windsor-Sarnia,12.0
2009,76,"Trades helpers, construction labourers and related occupations",3570,Windsor-Sarnia,2.1
2009,08,"Natural resources, agriculture and related production occupations",3570,Windsor-Sarnia,5.0
2009,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3570,Windsor-Sarnia,
2009,84,"Workers in natural resources, agriculture and related production",3570,Windsor-Sarnia,2.6
2009,86,"Harvesting, landscaping and natural resources labourers",3570,Windsor-Sarnia,
2009,09,Occupations in manufacturing and utilities,3570,Windsor-Sarnia,20.6
2009,92,"Processing, manufacturing and utilities supervisors and central control operators",3570,Windsor-Sarnia,4.9
2009,94,Processing and manufacturing machine operators and related production workers,3570,Windsor-Sarnia,8.3
2009,95,Assemblers in manufacturing,3570,Windsor-Sarnia,5.7
2009,96,"Labourers in processing, manufacturing and utilities",3570,Windsor-Sarnia,1.7
2009,,"Total employed, all occupations",3580,Stratford-Bruce Peninsula,144.9
2009,00,Management occupations,3580,Stratford-Bruce Peninsula,20.3
2009,00,Senior management occupations,3580,Stratford-Bruce Peninsula,
2009,06,Middle management occupations in retail and wholesale trade and customer services,3580,Stratford-Bruce Peninsula,5.7
2009,01,"Business, finance and administration occupations",3580,Stratford-Bruce Peninsula,17.5
2009,11,Professional occupations in business and finance,3580,Stratford-Bruce Peninsula,2.7
2009,12,Administrative and financial supervisors and administrative occupations,3580,Stratford-Bruce Peninsula,5.4
2009,13,"Finance, insurance and related business administrative occupations",3580,Stratford-Bruce Peninsula,2.1
2009,14,Office support occupations,3580,Stratford-Bruce Peninsula,5.2
2009,15,"Distribution, tracking and scheduling co-ordination occupations",3580,Stratford-Bruce Peninsula,2.1
2009,02,Natural and applied sciences and related occupations,3580,Stratford-Bruce Peninsula,4.7
2009,21,Professional occupations in natural and applied sciences,3580,Stratford-Bruce Peninsula,2.1
2009,22,Technical occupations related to natural and applied sciences,3580,Stratford-Bruce Peninsula,2.7
2009,03,Health occupations,3580,Stratford-Bruce Peninsula,9.9
2009,30,Professional occupations in nursing,3580,Stratford-Bruce Peninsula,1.8
2009,31,Professional occupations in health (except nursing),3580,Stratford-Bruce Peninsula,
2009,32,Technical occupations in health,3580,Stratford-Bruce Peninsula,2.1
2009,34,Assisting occupations in support of health services,3580,Stratford-Bruce Peninsula,4.6
2009,04,"Occupations in education, law and social, community and government services",3580,Stratford-Bruce Peninsula,9.5
2009,40,Professional occupations in education services,3580,Stratford-Bruce Peninsula,2.3
2009,41,"Professional occupations in law and social, community and government services",3580,Stratford-Bruce Peninsula,2.3
2009,42,"Paraprofessional occupations in legal, social, community and education services",3580,Stratford-Bruce Peninsula,2.4
2009,43,Occupations in front-line public protection services,3580,Stratford-Bruce Peninsula,
2009,44,"Care providers and educational, legal and public protection support occupations",3580,Stratford-Bruce Peninsula,2.3
2009,05,"Occupations in art, culture, recreation and sport",3580,Stratford-Bruce Peninsula,1.9
2009,51,Professional occupations in art and culture,3580,Stratford-Bruce Peninsula,
2009,52,"Technical occupations in art, culture, recreation and sport",3580,Stratford-Bruce Peninsula,1.5
2009,06,Sales and service occupations,3580,Stratford-Bruce Peninsula,35.4
2009,62,Retail sales supervisors and specialized sales occupations,3580,Stratford-Bruce Peninsula,4.2
2009,63,Service supervisors and specialized service occupations,3580,Stratford-Bruce Peninsula,5.8
