REF_DATE,NOC Major Group,National Occupational Classification (NOC),Economic region code,Economic region name,Number Employed (thousands)
2006,06,Sales and service occupations,3520,Muskoka-Kawarthas,47.6
2006,62,Retail sales supervisors and specialized sales occupations,3520,Muskoka-Kawarthas,5.0
2006,63,Service supervisors and specialized service occupations,3520,Muskoka-Kawarthas,7.5
2006,64,Sales representatives and salespersons - wholesale and retail trade,3520,Muskoka-Kawarthas,7.3
2006,65,Service representatives and other customer and personal services occupations,3520,Muskoka-Kawarthas,8.0
2006,66,Sales support occupations,3520,Muskoka-Kawarthas,7.1
2006,67,"Service support and other service occupations, n.e.c.",3520,Muskoka-Kawarthas,12.8
2006,07,"Trades, transport and equipment operators and related occupations",3520,Muskoka-Kawarthas,32.6
2006,72,"Industrial, electrical and construction trades",3520,Muskoka-Kawarthas,12.9
2006,73,Maintenance and equipment operation trades,3520,Muskoka-Kawarthas,6.8
2006,74,"Other installers, repairers and servicers and material handlers",3520,Muskoka-Kawarthas,2.5
2006,75,Transport and heavy equipment operation and related maintenance occupations,3520,Muskoka-Kawarthas,7.3
2006,76,"Trades helpers, construction labourers and related occupations",3520,Muskoka-Kawarthas,3.1
2006,08,"Natural resources, agriculture and related production occupations",3520,Muskoka-Kawarthas,4.0
2006,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3520,Muskoka-Kawarthas,
2006,84,"Workers in natural resources, agriculture and related production",3520,Muskoka-Kawarthas,2.0
2006,86,"Harvesting, landscaping and natural resources labourers",3520,Muskoka-Kawarthas,
2006,09,Occupations in manufacturing and utilities,3520,Muskoka-Kawarthas,13.0
2006,92,"Processing, manufacturing and utilities supervisors and central control operators",3520,Muskoka-Kawarthas,2.0
2006,94,Processing and manufacturing machine operators and related production workers,3520,Muskoka-Kawarthas,5.1
2006,95,Assemblers in manufacturing,3520,Muskoka-Kawarthas,3.9
2006,96,"Labourers in processing, manufacturing and utilities",3520,Muskoka-Kawarthas,1.9
2006,,"Total employed, all occupations",3530,Toronto,2914.5
2006,00,Management occupations,3530,Toronto,337.2
2006,00,Senior management occupations,3530,Toronto,28.0
2006,06,Middle management occupations in retail and wholesale trade and customer services,3530,Toronto,126.6
