name,Snippet,description,longitude,latitude,altitude
Hanover/Saugeen Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.0627777777778,44.1583333333333,0
Harrow Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-82.8408333333333,42.0594444444444,0
Hawkesbury Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.65,45.6166666666667,0
Hawkesbury (East) Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-74.5488888888889,45.5827777777778,0
Hearst (René Fontaine) Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-83.6869444444444,49.7138888888889,0
Highgate Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-81.8030555555556,42.5544444444444,0
Hornepayne Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-84.7588888888889,49.1930555555556,0
Ignace Municipal Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-91.7177777777778,49.4297222222222,0
Iroquois Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-75.3122222222222,44.8419444444444,0
Iroquois Falls Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-80.7933333333333,48.7416666666667,0
Kakabeka Falls Airport,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_airports_in_Ontario"">List of airports in Ontario</a>",-89.6019444444444,48.4183333333333,0
