,City,Total Population,Land area (km2)[2]
188,FENELON FALLS,2490,3.98
189,WAWA,2431,1.76
190,FOREST,2429,2.33
191,WINCHESTER,2417,2.26
192,DRESDEN,2401,2.78
193,MORRISBURG,2398,1.36
194,WYOMING,2348,4.59
195,COLCHESTER,2334,3.06
196,DRAYTON,2279,2.8
197,CONSTANCE BAY,2263,5.56
198,ILDERTON,2250,1.19
199,LIMOGES,2213,1.22
200,WENDOVER,2176,3.58
201,BLIND RIVER,2174,3.82
202,GLENCOE,2158,2.66
203,LONG SAULT,2154,2.35
204,STIRLING,2074,3.03
205,WIARTON,1996,2.36
206,ST. JACOBS,1959,2.81
207,ATIKOKAN,1929,2.37
208,AMIGO BEACH,1924,2.57
209,MARCHMONT,1902,4.09
210,HARRISTON,1887,1.3
211,CHESLEY,1879,1.91
212,CARLISLE,1858,2.56
213,CANNINGTON,1839,1.81
214,BATH,1825,3.87
215,METCALFE,1811,2.19
216,ORO STATION,1806,2.22
217,MILVERTON,1797,1.33
218,CONISTON,1782,2.25
219,VANKLEEK HILL,1781,2.23
220,CARDINAL,1770,2.44
221,GERALDTON,1761,2.64
222,MILLBROOK,1739,2.07
223,MATTAWA,1721,2.13
224,CAYUGA,1720,2.13
225,PARKHILL,1707,2.45
226,MANITOUWADGE,1682,2.35
227,BIG BAY POINT,1670,2.63
228,DUTTON,1658,2
229,COOKSTOWN,1647,1.14
230,SANDY LAKE 88,1601,1.35
231,DESERONTO,1598,1.27
232,ATTAWAPISKAT 91A,1586,1.33
233,NORWOOD,1585,1.99
234,EVERETT,1570,1.58
235,CHESTERVILLE,1564,1.86
236,WATFORD,1563,1.17
237,TWEED,1541,2.5
238,MCGREGOR,1536,3.32
239,FACTORY ISLAND,1530,1.44
240,WELLINGTON,1526,3.3
241,PLATTSVILLE,1520,1.37
242,MARMORA,1499,2.15
243,SUNDERLAND,1490,1.13
244,MADOC,1489,2.19
245,INGLESIDE,1487,1.76
246,CARP,1477,2.05
247,COLBORNE,1474,1.74
248,MOOSONEE,1471,1.64
249,CALEDON,1466,2.84
250,DOWLING,1449,1.35
251,WIKWEMIKONG,1417,3.44
252,IROQUOIS,1406,2.01
253,BAYFIELD,1394,2.86
254,STONEY POINT,1394,2.46
255,HASTINGS,1388,2.15
256,WEST LORNE,1385,1.81
257,ENGLEHART,1371,1.31
258,L'ORIGNAL,1359,2.91
259,PORT ROWAN,1357,3.17
260,INNERKIP,1342,1.47
261,LONGLAC,1316,1.74
262,STEVENSVILLE,1316,2.52
263,BELMONT,1275,0.99
264,RED LAKE,1263,1.54
265,CRAIGLEITH AND SWISS MEADOWS,1259,3.08
266,POWASSAN,1241,1.68
267,ST. CLEMENTS,1240,1.51
268,MILDMAY,1222,1.6
269,CLAREMONT,1215,2.12
270,JARVIS,1214,0.56
271,LITTLE CURRENT,1210,2.23
272,MARKDALE,1206,2.3
273,CREEMORE,1194,1.59
274,BOURGET,1175,2.23
275,NEW DUNDEE,1174,1.53
276,LUCKNOW,1154,1.69
277,EGANVILLE,1149,2.26
278,THESSALON,1147,1.88
279,MUNSTER,1145,0.67
280,CHAPLEAU,1144,0.59
281,GOLDEN,1143,0.93
282,HORSESHOE VALLEY,1127,2.68
283,HENSALL,1126,1.86
284,PALGRAVE,1107,1.84
285,ORONO,1104,1.36
286,ALFRED,1086,0.87
287,BARRY'S BAY,1084,2.25
288,HALIBURTON VILLAGE,1078,2.2
289,TINY BEACHES NORTH,1065,2.28
290,CHALK RIVER,1061,1.92
291,PAISLEY,1061,1.8
292,KASABONIKA LAKE,1060,1.13
293,OMEMEE,1060,2.12
294,BURFORD,1058,2.01
295,HAVELOCK,1055,1.15
296,THORNTON,1046,1.11
297,MERRICKVILLE,1036,2
