Census division name,Census subdivision name,Family Medicine,Specialist
Peterborough,North Kawartha,1,1
Peterborough,Peterborough,149,185
Peterborough,Smith-Ennismore-Lakefield,3,1
Peterborough,Trent Lakes,3,
Prescott and Russell,Alfred and Plantagenet,7,
Prescott and Russell,Champlain,2,
Prescott and Russell,Clarence-Rockland,18,
Prescott and Russell,East Hawkesbury,1,
Prescott and Russell,Hawkesbury,58,45
Prescott and Russell,Russell,12,1
Prescott and Russell,The Nation / La Nation,19,
Prince Edward,Prince Edward County,18,3
Rainy River,Atikokan,8,4
Rainy River,Chapple,2,
Rainy River,Fort Frances,15,
Rainy River,Rainy River,3,
Renfrew,Arnprior,22,2
Renfrew,Bonnechere Valley,1,
Renfrew,Deep River,9,1
Renfrew,Greater Madawaska,3,
Renfrew,"Killaloe, Hagarty and Richards",3,
Renfrew,Madawaska Valley,7,
Renfrew,Pembroke,52,41
Renfrew,Petawawa,14,3
Renfrew,Renfrew,27,10
Renfrew,Whitewater Region,3,1
Simcoe,Barrie,193,243
Simcoe,Bradford West Gwillimbury,25,
Simcoe,Clearview,12,1
Simcoe,Collingwood,49,19
Simcoe,Essa,11,2
Simcoe,Innisfil,10,1
Simcoe,Midland,53,9
Simcoe,New Tecumseth,46,14
Simcoe,Orillia,82,65
Simcoe,Penetanguishene,21,24
Simcoe,Ramara,1,
Simcoe,Severn,2,3
Simcoe,Springwater,8,2
Simcoe,Tay,2,1
Simcoe,Tiny,1,
Simcoe,Wasaga Beach,22,
"Stormont, Dundas and Glengarry",Akwesasne (Part) 59,1,1
"Stormont, Dundas and Glengarry",Cornwall,62,58
"Stormont, Dundas and Glengarry",North Dundas,36,11
"Stormont, Dundas and Glengarry",North Glengarry,13,
"Stormont, Dundas and Glengarry",North Stormont,5,
"Stormont, Dundas and Glengarry",South Dundas,7,2
"Stormont, Dundas and Glengarry",South Stormont,2,
Sudbury,Chapleau,3,1
Sudbury,Espanola,7,
Sudbury,Sables-Spanish Rivers,2,
Thunder Bay,Fort William 52,2,208
Thunder Bay,Greenstone,8,
Thunder Bay,Manitouwadge,3,
Thunder Bay,Marathon,10,
Thunder Bay,Schreiber,2,
Thunder Bay,Terrace Bay,2,
Thunder Bay,Thunder Bay,171,
Thunder Bay,"Thunder Bay, Unorganized",3,
Timiskaming,Charlton and Dack,5,
Timiskaming,Coleman,1,
Timiskaming,Kirkland Lake,9,1
Timiskaming,Latchford,1,
Timiskaming,Temiskaming Shores,21,3
Toronto,Toronto,3688,5938
Waterloo,Cambridge,149,113
Waterloo,Kitchener,272,290
Waterloo,North Dumfries,6,
Waterloo,Waterloo,120,78
Waterloo,Wellesley,3,
Waterloo,Wilmot,9,
Waterloo,Woolwich,13,1
Wellington,Centre Wellington,45,12
Wellington,Erin,9,
Wellington,Guelph,191,162
Wellington,Guelph/Eramosa,3,
Wellington,Mapleton,4,
Wellington,Minto,5,
Wellington,Puslinch,2,
Wellington,Wellington North,10,1
York,Aurora,59,11
York,East Gwillimbury,14,1
York,Georgina,25,1
York,King,14,2
York,Markham,287,279
York,Newmarket,127,253
York,Richmond Hill,222,265
York,Vaughan,292,198
York,Whitchurch-Stouffville,24,3
