City,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
Stayner,1.0,1.0
Stirling,1.0,1.0
Stittsville,1.0,1.0
Stoney Creek,1.0,1.0
Stouffville,1.0,1.0
Stratford,1.0,1.0
Strathroy,1.0,1.0
Sturgeon Falls,1.0,1.0
Sudbury,1.0,0.994
Sutton West,1.0,1.0
Tavistock,0.995,0.995
Tecumseh,1.0,1.0
Terrace Bay,1.0,1.0
Thessalon,1.0,1.0
Thornbury,0.99,0.99
Thunder Bay,1.0,1.0
Tilbury,1.0,1.0
Tillsonburg,1.0,0.995
Timmins,1.0,1.0
Toronto,0.9966666666666667,0.9954761904761905
Townsend,1.0,1.0
Trenton,1.0,1.0
Tweed,1.0,1.0
Unionville,1.0,1.0
Uxbridge,1.0,1.0
Val Caron,0.99,0.99
Vanier,1.0,1.0
Vaughan,0.99,0.99
Vineland,1.0,1.0
Virgil,1.0,0.99
Walkerton,0.9,0.88
Wallaceburg,1.0,1.0
Wardsville,1.0,1.0
Warkworth,0.97,0.97
Waterdown,1.0,1.0
Waterloo,1.0,1.0
Watford,1.0,1.0
Wawa,1.0,1.0
Welland,1.0,1.0
Whitby,0.9975,0.9975
Whitchurch-Stouffville,1.0,1.0
Wiarton,0.975,0.95
Wikwemikong,1.0,1.0
Winchester,1.0,1.0
Windsor,0.9977777777777779,0.9977777777777779
Wingham,1.0,1.0
Woodbridge,1.0,0.9924999999999999
Woodslee,1.0,0.99
Woodstock,0.995,0.995
York,1.0,1.0
Zurich,1.0,1.0
