X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.2259501889999,45.3406107820001,7709,172386721,N0048,Retirement Home, ,Chartwell Muskoka Traditions Retirement Residence, , , ,16 Legacy Lane, , ,Huntsville,P1H0B1,20220428140000,20220426154706
-80.45483121,44.5594982900001,7715,172386822,S0414,Retirement Home, ,Errinrung Retirement Community, , , ,67 Bruce Street, , ,Thornbury,N0H2P0,20220428135914,20220426154720
-81.852445619,43.1624309810001,7725,172386785,S0096,Retirement Home, ,Country Manor Retirement Home, , , ,66 Victoria Street, , ,Thedford,N0M2N0,20220428140054,20220426154715
-80.345338867,43.398720295,7747,172386827,T0067,Retirement Home, ,Fairview Suites Retirement Home, , , ,799 Concession Road, , ,Cambridge,N3H4L1,20220428140036,20220426154720
-82.003116291,42.3332373270001,7751,172387118,S0509,Retirement Home, ,Serenity Blenheim Independent Living, , , ,84 Marlborough Street, , ,Blenheim,N0P1A0,20220428140037,20220426154759
-78.288037559,43.9507894870001,7770,172387059,T0488,Retirement Home, ,Regency Retirement Community, , , ,66 Dorset Street, , ,Port Hope,L1A1E3,20220428140054,20220426154751
-79.7286953559999,43.220283893,7780,172386924,S0086,Retirement Home, ,Lakeview Retirement Centre, , , ,339 Highway 8,Unit 8, ,Hamilton,L8G1E7,20220428140112,20220426154733
-75.7278922469999,45.4010286500001,7802,172387293,N0550,Retirement Home, ,Wellington West Retirement Community, , , ,1166 Wellington Street, , ,Ottawa,K1Y4H1,20220428140037,20220426154823
-79.336000182,43.8057619140001,7823,172386978,T0069,Retirement Home, ,McNicoll Manor/Moll Berczy Haus, , , ,1020 McNicoll Avenue, , ,Toronto,M1W2J6,20220428140037,20220426154740
-81.704938726,43.7311940870001,7841,172386865,S0503,Retirement Home, ,Harbour Hill Retirement Community, , , ,104 Suncoast Drive, , ,Goderich,N7A0A7,20220428140054,20220426154725
-80.480231418,43.4908090050001,7851,172386776,T0372,Retirement Home, ,Cobble Creek Residence Inc., , , ,210 Woolwich Street, , ,Kitchener,N2K1S7,20220428140112,20220426154714
-79.3414975759999,43.708973197,7864,172386939,T0428,Retirement Home, ,Leaside, , , ,William Morgan Drive,14-Oct, ,Toronto,M4H1E7,20220428140000,20220426154735
-75.520192084,45.472964571,7865,172386900,N0029,Retirement Home, ,Jardin Royal Garden Inc., , , ,2802 Saint Joseph Boulevard, , ,Ottawa,K1C1G5,20220428140036,20220426154730
-81.1614393679999,42.772671346,7884,172386649,S0021,Retirement Home, ,Caressant Care On Bonnie Place, , , ,15 Bonnie Place, , ,St. Thomas,N5R5T8,20220428140053,20220426154657
-80.763399576,43.14346533,7907,172386728,S0383,Retirement Home, ,Chartwell Oxford Gardens Retirement Residence, , , ,423 Devonshire Avenue, , ,Woodstock,N4S0B2,20220428140036,20220426154707
-82.1798229519999,42.40236853,7921,172387135,S0196,Retirement Home, ,St. Andrew's Residence, , , ,99 Park Street, , ,Chatham,N7M3R5,20220428135929,20220426154801
-77.392640689,44.1766719670001,7931,172387049,N0476,Retirement Home, ,Quinte Gardens Retirement Residence, , , ,30 College Street, , ,Belleville,K8P0A9,20220428140037,20220426154750
-79.322614094,45.0657936310001,7958,172386659,N0095,Retirement Home, ,Castle Peak Retirement Residence, , , ,56 Douglas Drive, , ,Bracebridge,P1L0B9,20220428135928,20220426154658
-80.337586164,43.3879318940001,7962,172386809,T0192,Retirement Home, ,Dunbar Heights Seniors Living Inc., , , ,611 Dunbar Road, , ,Cambridge,N3H2T4,20220428140054,20220426154718
-81.099654491,44.3105799160001,7984,172386816,S0080,Retirement Home, ,Elgin Abbey Lodge, , , ,380 First Avenue, , ,Chesley,N0G1L0,20220428140000,20220426154719
-75.228788556,45.1022941200001,7985,172386839,N0278,Retirement Home, ,Garden Villa Retirement Residence, , , ,66 Main Street, , ,Chesterville,K0C1H0,20220428140036,20220426154722
-76.481427918,44.489881961,8011,172386628,N0112,Retirement Home, ,Brooks Landing Retirement Living, , , ,6449 Perth Road, , ,Perth Road,K0H2L0,20220428140111,20220426154654
-82.605010051,42.0340585440001,8022,172387101,S0438,Retirement Home, ,Seacliff Manor, , , ,30 Seacliff Drive West, , ,Leamington,N8H0E5,20220428140000,20220426154757
-75.300481017,45.546324193,8036,172386962,N0390,Retirement Home, ,Manoir Rockland Manor, , , ,9045 County Road 17, , ,Clarence-Rockland,K4K0J9,20220428140112,20220426154738
-75.5295818869999,45.4716060710001,8047,172387165,N0272,Retirement Home, ,Symphony Senior Living Orleans, , , ,6419 Lumberman Way, , ,Ottawa,K1C6E8,20220428140000,20220426154805
-74.614936593,45.6077340310001,8061,172386961,N0246,Retirement Home, ,Manoir McGill 342, , , ,342 McGill Street, , ,Hawkesbury,K6A3V5,20220428135944,20220426154738
-79.9410429279999,43.275949493,8075,172387309,S0194,Retirement Home, ,Yorkville Retirement Residence, , , ,211 York Road, , ,Hamilton,L9H1M9,20220428140001,20220426154825
-78.3192906,44.3033140470001,8083,172386821,T0003,Retirement Home, ,Empress Gardens Retirement Residence, , , ,131 Charlotte Street, , ,Peterborough,K9J2T6,20220428140018,20220426154719
-79.524547888,43.1869729960001,8089,172387122,S0140,Retirement Home, ,Shalom Gardens Apartments, , , ,12 Bartlett Avenue, , ,Grimsby,L3M4N5,20220428135914,20220426154800
-89.259299175,48.4619433670001,8104,172386706,N0454,Retirement Home, ,Chartwell Hilldale Retirement Residence, , , ,309 Hilldale Road, , ,Thunder Bay,P7G0A2,20220428135944,20220426154704
-75.1847327249999,44.898550486,8119,172386703,N0056,Retirement Home, ,Chartwell Hartford Retirement Residence, , , ,3 Fifth Street, , ,Morrisburg,K0C1X0,20220428140111,20220426154704
-79.048747727,43.0610306950001,8128,172387303,S0348,Retirement Home, ,Willoughby Manor Retirement Residence, , , ,3584 Bridgewater Street, , ,Niagara Falls,L2G6H1,20220428140037,20220426154824
-79.5268990339999,43.6970954860001,8145,172387222,T0131,Retirement Home, ,The Village of Humber Heights, , , ,2245 Lawrence Avenue West, , ,Toronto,M9P3W3,20220428140054,20220426154813
-79.680643061,43.4539653360001,8156,172387158,T0203,Retirement Home, ,Sunrise Senior Living of Oakville, , , ,456 Trafalgar Road, , ,Oakville,L6J7X1,20220428140112,20220426154805
-80.4423084009999,43.431066796,8189,172387248,T0008,Retirement Home, ,Trinity Village Studios, , , ,2711 Kingsway Drive, , ,Kitchener,N2C2T2,20220428140112,20220426154817
-79.730829776,43.445292932,8221,172386795,T0051,Retirement Home, ,Delmanor Glen Abbey, , , ,1459 Nottinghill Gate, , ,Oakville,L6M4W1,20220428135944,20220426154716
-78.848734139,43.9453129610001,8242,172386614,T0604,Retirement Home, ,Bloom, , , ,1224 Coldstream Drive, , ,Oshawa,L1K0J6,20220428140018,20220426154652
-79.4141492049999,43.7753965050001,8243,172386796,T0052,Retirement Home, ,Delmanor Northtown, , , ,5351 Yonge Street, , ,Toronto,M2N7L5,20220428140000,20220426154716
-75.86090008,45.2742018230001,8249,172386625,N0036,Retirement Home, ,Bridlewood Trails Retirement Community, , , ,480 Brigitta Street, , ,Ottawa,K2S0K7,20220428135959,20220426154653
-79.198011633,43.7458578100001,8255,172386701,T0605,Retirement Home, ,Chartwell Guildwood Retirement Residence, , , ,65 Livingston Road, , ,Toronto,M1E0E6,20220428135914,20220426154703
-79.765675809,43.6899477740001,8272,172386559,T0528,Retirement Home, ,Amica Peel Village, , , ,223 Main Street, , ,Brampton,L6Y6H1,20220428135928,20220426154645
-79.892943311,43.251632591,8297,172386536,S0079,Retirement Home, ,Aberdeen Gardens Retirement Residence, , , ,330 Dundurn Street, , ,Hamilton,L8P4L6,20220428140053,20220426154641
-82.649063004,46.3782129740001,8298,172387282,N0495,Retirement Home, ,Walford Hillside Park, , , ,11 Mississauga Avenue, , ,Elliot Lake,P5A1E1,20220428135945,20220426154821
-75.705972935,45.349795342,8320,172387206,N0274,Retirement Home, ,The Ravines Seniors' Suites, , , ,636 Prado Private, , ,Ottawa,K2E0B6,20220428140019,20220426154811
-80.7422372679999,43.1236240280001,8321,172386648,S0024,Retirement Home, ,Caressant Care - Woodstock, , , ,81 Fyfe Avenue, , ,Woodstock,N4S8Y2,20220428140036,20220426154656
-79.714694467,43.394724324,8326,172386550,T0434,Retirement Home, ,Amica Bronte Harbour, , , ,160 Bronte Road, , ,Oakville,L6L3C1,20220428135944,20220426154643
-82.996729197,42.3261365770001,8333,172386942,S0232,Retirement Home, ,Lifetimes on Riverside, , , ,3387 Riverside Drive, , ,Windsor,N8Y1A8,20220428135929,20220426154736
-75.7063939349999,45.3497000420001,8346,172387205,N0142,Retirement Home, ,The Ravines, , , ,626 Prado Private, , ,Ottawa,K2E0B3,20220428135929,20220426154811
-80.32017911,42.842083298,8361,172386662,S0413,Retirement Home, ,Cedar Crossing Retirement Community, , , ,395 Cedar Street, , ,Simcoe,N3Y2N3,20220428140111,20220426154658
-78.839849032,43.902602254,8370,172386664,T0596,Retirement Home, ,Cedarcroft Place, , , ,649 King Street, , ,Oshawa,L1H8P9,20220428140000,20220426154659
-80.245157046,43.5169255210001,8376,172386761,T0095,Retirement Home, ,Chartwell Wellington Park Retirement Residence, , , ,181 Janefield Avenue, , ,Guelph,N1G1V2,20220428135914,20220426154711
-79.89800662,43.3353662050001,8426,172387274,S0490,Retirement Home, ,Village Manor, , , ,57 John Street West, , ,Hamilton,L0R2H0,20220428140054,20220426154820
-77.390622588,44.178016267,8436,172387208,N0362,Retirement Home, ,The Richmond Retirement Residence, , , ,175 North Front Street, , ,Belleville,K8P4Y8,20220428140112,20220426154811
-75.50413968,45.489567875,8446,172386941,N0143,Retirement Home, ,Les Promenades, , , ,110 Rossignol Drive, , ,Ottawa,K4A0N2,20220428140054,20220426154735
-80.282045046,43.3891714970001,8455,172386854,T0609,Retirement Home, ,Granite Landing, , , ,30 Light Drive, , ,Cambridge,N1T0B9,20220428140112,20220426154724
-80.285571824,43.12529855,8464,172387105,S0153,Retirement Home, ,Seasons Brantford, , , ,55 Diana Avenue, , ,Brantford,N3T0C2,20220428135929,20220426154757
-79.248396669,43.970805947,8480,172386631,T0154,Retirement Home, ,Buckingham Manor, , , ,6257 Main Street, , ,Whitchurch-Stouffville,L4A4J3,20220428140053,20220426154654
-78.7388197399999,44.3606323380001,8504,172387302,T0574,Retirement Home, ,William Place, , , ,140 William Street North, , ,Kawartha Lakes,K9V5R4,20220428140019,20220426154824
-81.141147823,46.4249116620001,8505,172386719,N0053,Retirement Home, ,Chartwell Meadowbrook Retirement Community, , , ,18 Jacobson Drive, , ,Greater Sudbury,P3Y1P7,20220428140036,20220426154706
-81.312907017,43.8849842330001,8520,172386845,S0006,Retirement Home, ,Gilbert Hall Retirement Home, , , ,22 Veterans Road,Postal Office Box 1388, ,Wingham,N0G2W0,20220428135914,20220426154723
-79.0887332409999,43.079426197,8536,172386661,S0434,Retirement Home, ,Cavendish Manor Residence, , , ,5781 Dunn Street, , ,Niagara Falls,L2G2N9,20220428135928,20220426154658
-75.730530943,45.3470705410001,8558,172387144,N0457,Retirement Home, ,Stirling Park Retirement Community, , , ,310 Titan Private, , ,Ottawa,K2G0B1,20220428140019,20220426154803
-75.742257341,45.2776900280001,8559,172386585,N0394,Retirement Home, ,Barrhaven Manor, , , ,110 Berrigan Drive, , ,Ottawa,K2J5A6,20220428140036,20220426154648
-79.7167189579999,44.402658199,8578,172387308,N0010,Retirement Home, ,Woods Park Care Centre, , , ,110 Lillian Crescent, , ,Barrie,L4N5H7,20220428135929,20220426154825
-80.9956896799999,46.462726676,8586,172387230,N0498,Retirement Home, ,The Walford Sudbury, , , ,99 Walford Road, , ,Greater Sudbury,P3E6K3,20220428140037,20220426154814
-79.405356793,43.671668787,8602,172387172,T0427,Retirement Home, ,The Annex, , , ,123 Spadina Road, , ,Toronto,M5R2T1,20220428140054,20220426154806
-79.4798342569999,44.1301366640001,8612,172387032,T0455,Retirement Home, ,Pleasant Valley Rest Home, , , ,511 Queensville Side Road, , ,East Gwillimbury,L9N0G1,20220428140112,20220426154748
-79.2943053669999,43.782319912,8623,172387125,T0012,Retirement Home, ,Shepherd Terrace Retirement Residence, , , ,3758 Sheppard Avenue, , ,Toronto,M1T3K9,20220428140054,20220426154800
-79.711897955,44.385269797,8631,172387286,N0471,Retirement Home, ,Waterford Barrie Retirement Residence, , , ,132 Edgehill Drive, , ,Barrie,L4N1M1,20220428140054,20220426154822
-76.9630007539999,44.239134596,8642,172387210,N0105,Retirement Home, ,The Riverine Independent and Retirement Living, , , ,328 Dundas Street, , ,Napanee,K7R4B5,20220428140112,20220426154811
-77.585493345,44.1009852450001,8667,172387108,N0188,Retirement Home, ,Seasons Dufferin Centre, , , ,344 Dufferin Avenue, , ,Quinte West,K8V5G9,20220428135944,20220426154758
-79.235709398,43.2077364130001,8692,172387028,S0007,Retirement Home, ,Pioneer Elder Care, , , ,180 Lakeshore Road,Unit A, ,St. Catharines,L2N2V3,20220428140019,20220426154747
-81.649312637,42.958264855,8723,172387114,S0154,Retirement Home, ,Seasons Strathroy, , , ,3230 Napperton Drive, , ,Strathroy,N7G0C4,20220428140000,20220426154758
-79.549323896,44.3138036920001,8734,172386923,N0102,Retirement Home, ,Lakeside Retirement at Innisfil, , , ,985 Innisfil Beach Road, , ,Innisfil,L9S4M8,20220428135944,20220426154733
-75.771716059,45.382260945,8748,172387252,N0101,Retirement Home, ,Unitarian House of Ottawa, , , ,20 Cleary Avenue, , ,Ottawa,K2A3Z9,20220428140001,20220426154817
-79.855527335,44.7428859510001,8756,172386755,N0429,Retirement Home, ,Chartwell Tiffin Retirement Residence, , , ,105 Pillsbury Drive, , ,Midland,L4R0E7,20220428140018,20220426154711
-79.0629608359999,43.114107904,8762,172387073,S0121,Retirement Home, ,River Road Retirement Residence, , , ,4067 River Road, , ,Niagara Falls,L2E3E5,20220428135914,20220426154753
-79.3741900969999,44.921923404,8849,172387197,N0356,Retirement Home, ,The Manor at Gravenhurst, , , ,300 Muskoka Road, , ,Gravenhurst,P1P1N8,20220428140000,20220426154810
-79.883477931,43.514629637,8862,172386975,T0523,Retirement Home, ,Martindale Gardens Retirement Residence, , , ,45 Martin Street, , ,Milton,L9T2R1,20220428135944,20220426154740
-80.976493765,43.3834647620001,8885,172386860,S0094,Retirement Home, ,Greenwood Court, , , ,90 Greenwood Drive, , ,Stratford,N5A7W5,20220428140018,20220426154725
-79.792330372,43.175590782,8891,172387150,S0508,Retirement Home, ,Summit Heights Retirement Residence, , , ,2126 Rymal Road East, , ,Hamilton,L0R1P0,20220428135914,20220426154803
-80.1165015409999,43.9169908970001,8901,172386582,T0159,Retirement Home, ,Avalon Retirement Lodge, , , ,355 Broadway Avenue, , ,Orangeville,L9W3Y3,20220428135944,20220426154648
-80.480098013,43.4343879950001,8908,172386990,T0533,Retirement Home, ,Murrays Millwood Manor Inc., , , ,409 Mill Street, , ,Kitchener,N2M3R9,20220428135929,20220426154742
-79.2530879999999,43.1570617030001,8918,172386987,S0084,Retirement Home, ,Mount Carmel Home, , , ,78 Yates Street, , ,St. Catharines,L2R5R9,20220428140037,20220426154741
-79.7350362879999,43.5595408520001,8924,172387255,T0026,Retirement Home, ,V!VA Mississauga Retirement Community, , , ,5575 Bonnie Street, , ,Mississauga,L5M0N8,20220428135914,20220426154817
-81.749916141,42.6485983950001,8938,172386596,S0401,Retirement Home, ,Beattie Manor, , , ,23328 Beattie Line, , ,Wardsville,N0L2N0,20220428140018,20220426154649
-75.633763819,45.4448359620001,8939,172386774,N0438,Retirement Home, ,Cite Parkway Retirement Residence, , , ,380 LeBoutillier Avenue, , ,Ottawa,K1K3W3,20220428140000,20220426154713
-79.2429563969999,43.1614917050001,8945,172386953,S0081,Retirement Home, ,Loyalist Retirement Residence, , , ,190 King Street, , ,St. Catharines,L2R3J7,20220428135914,20220426154737
-81.261476515,42.9525619730001,8961,172386747,S0059,Retirement Home, ,Chartwell Royalcliffe Retirement Residence, , , ,609 Wharncliffe Road, , ,London,N6J2N7,20220428135928,20220426154710
-79.4509627369999,44.0083771440001,8987,172386707,T0458,Retirement Home, ,Chartwell Hollandview Trail Retirement Residence, , , ,200 John West Way, , ,Aurora,L4G0E4,20220428140054,20220426154704
-80.519273825,43.4347331930001,9003,172386884,T0571,Retirement Home, ,Highland Place, , , ,20 Fieldgate Street, , ,Kitchener,N2M5K3,20220428135929,20220426154728
-79.5841356609999,43.798591801,9025,172386732,T0296,Retirement Home, ,Chartwell Pine Grove Retirement Residence, , , ,8403 Islington Avenue, , ,Vaughan,L4L1X3,20220428140054,20220426154708
-79.4346541,43.651577882,9042,172386605,T0189,Retirement Home, ,Bill McMurray Residence, , , ,180 Sheridan Avenue, , ,Toronto,M6K3C7,20220428135944,20220426154651
-74.6142517929999,45.5988796300001,9049,172387031,N0268,Retirement Home, ,Place Mont Roc Residence Inc., , , ,100 Industrial Boulevard, , ,Hawkesbury,K6A3M8,20220428135929,20220426154747
-75.659015524,45.399725253,9059,172387001,N0043,Retirement Home, ,Oakpark Retirement Community, , , ,2 Valour Drive, , ,Ottawa,K1G3T5,20220428140037,20220426154743
-79.6557158379999,44.397968602,9074,172386586,N0392,Retirement Home, ,Barrie Manor Senior Living, , , ,340 Blake Street, , ,Barrie,L4M1L3,20220428140053,20220426154648
-75.904550098,45.312864828,9099,172387241,N0521,Retirement Home, ,Timberwalk Retirement Community, , , ,1250 Maritime Way, , ,Ottawa,K2K0L7,20220428140019,20220426154816
-79.4279955969999,43.6423431810001,9100,172386678,T0093,Retirement Home, ,Chartwell Avondale Retirement Residence, , , ,1238 Queen Street, , ,Toronto,M4L1C3,20220428140036,20220426154700
