County Name,Census division name,Family Medicine,Specialist,Grand Total
Oxford,East Zorra-Tavistock,5,1,5
Oxford,Ingersoll,14,,15
Oxford,Norwich,5,,5
Oxford,Tillsonburg,26,7,33
Oxford,Woodstock,53,40,93
Oxford,Zorra,1,,1
Parry Sound,Armour,7,10,7
Parry Sound,Callander,4,,4
Parry Sound,Parry Sound,35,,45
Parry Sound,Perry,3,,3
Parry Sound,Powassan,2,,2
Peel,Brampton,469,362,831
Peel,Caledon,31,3,34
Peel,Mississauga,755,757,1512
Perth,North Perth,14,3,17
Perth,Perth East,4,,4
Perth,St. Marys,14,1,15
Perth,Stratford,43,73,116
Perth,West Perth,7,,7
Peterborough,Asphodel-Norwood,1,,1
Peterborough,Cavan Monaghan,3,1,4
Peterborough,Douro-Dummer,8,,8
Peterborough,Havelock-Belmont-Methuen,1,,1
Peterborough,North Kawartha,1,1,2
Peterborough,Peterborough,149,185,334
Peterborough,Smith-Ennismore-Lakefield,3,1,4
Peterborough,Trent Lakes,3,,3
Prescott and Russell,Alfred and Plantagenet,7,,7
Prescott and Russell,Champlain,2,,2
Prescott and Russell,Clarence-Rockland,18,,18
Prescott and Russell,East Hawkesbury,1,,1
Prescott and Russell,Hawkesbury,58,45,103
Prescott and Russell,Russell,12,1,13
Prescott and Russell,The Nation / La Nation,19,,19
Prince Edward,Prince Edward County,18,3,21
Rainy River,Atikokan,8,4,8
Rainy River,Chapple,2,,2
Rainy River,Fort Frances,15,,19
Rainy River,Rainy River,3,,3
Renfrew,Arnprior,22,2,24
Renfrew,Bonnechere Valley,1,,1
Renfrew,Deep River,9,1,10
Renfrew,Greater Madawaska,3,,3
Renfrew,"Killaloe, Hagarty and Richards",3,,3
Renfrew,Madawaska Valley,7,,7
Renfrew,Pembroke,52,41,93
Renfrew,Petawawa,14,3,17
Renfrew,Renfrew,27,10,37
Renfrew,Whitewater Region,3,1,4
Simcoe,Barrie,193,243,436
Simcoe,Bradford West Gwillimbury,25,,25
Simcoe,Clearview,12,1,13
Simcoe,Collingwood,49,19,68
Simcoe,Essa,11,2,13
Simcoe,Innisfil,10,1,11
Simcoe,Midland,53,9,62
Simcoe,New Tecumseth,46,14,60
Simcoe,Orillia,82,65,147
Simcoe,Penetanguishene,21,24,45
Simcoe,Ramara,1,,1
Simcoe,Severn,2,3,5
Simcoe,Springwater,8,2,10
Simcoe,Tay,2,1,3
Simcoe,Tiny,1,,1
