,Economic region code,Economic region name,Census division code,Census division name,Census subdivision code,Census subdivision name,Total Population,Total Private Dwellings,Population density (people/square km),Land area (square km),Total - Age groups,0-14 Years,15-64 Years,15-19 Years,20-24 Years,>=65,Average Age of Population,Median Age of Population,Total households by #/room,1 or fewer per room,>1 per room,Total households by housing suitability,Suitable housing,Unsuitable housing,Total owned and rented households >0 income,<30 percent of income spent on shelter,>=30 percent of income spent on shelter,30 - <100 percent of income spent on shelter,Total commuting duration,Commute <15 min,Commute 15-29 min,Commute 30-44 min,Commute 45-59 min,Commute >=60 min
104,3530, Toronto,3519,"York, Regional municipality (RM)",3519076,Chippewas of Georgina Island First Nation,231,550,16,14.47,230,40,125,10,5,65,47.6,53.2,110,110,0,110,105,0,,,,,85,50,15,15,0,10
105,3530, Toronto,3520,"Toronto, Census division (CDR)",3520005,Toronto,2794356,1253238,4427.8,631.1,2794355,384295,1933075,134810,185650,476985,41.5,39.6,1160890,1093085,67805,1160890,1016350,144545,1151795,777835,373965,321675,791470,130355,251795,222015,88655,98655
106,3530, Toronto,3521,"Peel, Regional municipality (RM)",3521005,Mississauga,717961,254089,2452.5,292.74,717960,109320,489245,44665,51660,119400,41.1,40.8,244575,229855,14720,244575,216910,27660,243100,174940,68155,60495,218345,41835,83990,53060,18620,20845
107,3530, Toronto,3521,"Peel, Regional municipality (RM)",3521010,Brampton,656480,189086,2469,265.89,656480,117660,456990,42890,56715,81830,37.5,36,182475,168325,14145,182475,158385,24085,181930,125575,56355,52650,238010,34355,87895,67240,22910,25620
108,3530, Toronto,3521,"Peel, Regional municipality (RM)",3521024,Caledon,76581,24795,111.2,688.82,76580,13155,52025,5555,5435,11395,40,40.8,23700,23065,630,23700,22555,1145,23465,18315,5155,4650,27515,4835,6970,8760,3940,3010
109,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522001,East Garafraxa,2794,944,16.8,166.5,2795,455,1885,200,185,450,41.7,44,905,905,0,905,880,25,825,695,130,115,1075,245,225,215,200,195
110,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522008,Amaranth,4327,1428,16.3,265.02,4325,755,2915,310,275,655,40.8,42.4,1370,1350,25,1370,1320,55,1290,1010,280,240,1760,380,440,260,235,445
111,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522010,Grand Valley,3851,1445,24.3,158.6,3850,775,2605,200,200,475,38,36.8,1395,1390,10,1395,1325,70,1325,1015,310,290,1610,190,485,250,260,415
112,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522012,Mono,9421,3327,33.8,278.37,9420,1495,6020,580,550,1900,43.6,47.2,3130,3095,35,3130,3035,100,3050,2515,540,495,3270,925,555,645,565,580
113,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522014,Orangeville,30167,11308,1989.5,15.16,30165,5720,19855,1790,1655,4590,39.5,38.8,11060,10940,120,11060,10680,375,11030,8355,2675,2505,12090,4375,1405,2360,2110,1845
114,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522016,Mulmur,3571,1682,12.5,286.17,3570,455,2380,200,195,740,45.2,50,1390,1380,0,1390,1360,30,1320,1025,295,275,1360,150,295,310,195,415
115,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522019,Melancthon,3132,1104,10.1,310.39,3130,615,2060,205,185,450,39.3,39.2,1035,1020,15,1035,990,40,940,715,220,195,1270,360,255,265,135,250
116,3540, Kitchener-Waterloo-Barrie,3522,"Dufferin, County (CTY)",3522021,Shelburne,8994,3150,1370.8,6.56,8990,1975,5725,565,470,1300,37.8,36.8,3025,2975,50,3025,2885,140,3025,2305,720,685,3690,895,795,435,525,1035
117,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523001,Puslinch,7944,2946,37,214.82,7945,1110,5010,495,440,1825,45.5,49.2,2855,2830,25,2855,2825,30,2780,2335,445,390,2755,760,1000,555,235,205
118,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523008,Guelph,143740,59746,1644.1,87.43,143740,23505,96690,8415,10525,23540,40.1,38.4,56480,55040,1440,56480,53355,3125,56310,43400,12905,11755,52230,21215,16520,7335,3455,3700
119,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523009,Guelph/Eramosa,13904,4993,47.5,292.84,13905,2315,9000,890,760,2590,42.6,45.2,4840,4810,30,4840,4700,135,4695,3990,710,660,4985,1250,1720,870,640,510
120,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523017,Erin,11981,4396,40.1,298.81,11980,1815,8080,715,720,2085,43,46.8,4220,4165,60,4220,4100,120,4060,3345,720,600,4585,885,930,1155,970,655
121,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523025,Centre Wellington,31093,12701,75.9,409.41,31095,5340,18815,1770,1510,6935,43.3,44.4,11975,11865,105,11975,11630,340,11690,9715,1975,1825,11495,4080,3255,2315,755,1085
122,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523033,Mapleton,10839,3633,20.2,535.56,10840,2935,6570,875,695,1335,34.6,32,3245,3160,80,3245,3085,160,2700,2350,355,330,3880,1275,1295,720,340,255
123,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523043,Minto,9094,3885,30.3,300.19,9095,1755,5440,530,525,1900,41.5,40.8,3415,3355,55,3415,3310,110,3245,2775,470,455,3670,1350,1095,460,325,440
124,3540, Kitchener-Waterloo-Barrie,3523,"Wellington, County (CTY)",3523050,Wellington North,12431,4987,23.6,526.31,12430,2340,7360,670,680,2735,42.4,42,4790,4745,45,4790,4585,205,4460,3605,850,785,4680,1870,1110,690,455,560
125,,,3524,"Halton, Regional municipality (RM)",3524001,Oakville,213759,76179,1538.5,138.94,213760,38435,141725,16665,13375,33595,40.4,41.6,73560,72055,1500,73560,70615,2945,73110,53810,19295,15945,54320,14895,17515,11985,5055,4860
126,,,3524,"Halton, Regional municipality (RM)",3524002,Burlington,186948,74891,1004.4,186.12,186945,29900,117870,11075,9735,39180,43.3,44.4,73180,72360,820,73180,70640,2535,72995,56120,16875,15220,56180,18265,19215,10040,4455,4205
127,,,3524,"Halton, Regional municipality (RM)",3524009,Milton,132979,41000,365.5,363.83,132980,31980,87770,9520,6880,13225,35.2,36,40035,38360,1675,40035,37450,2585,39820,29750,10075,9350,39235,9335,10260,10840,4350,4455
128,,,3524,"Halton, Regional municipality (RM)",3524015,Halton Hills,62951,22252,227.4,276.81,62950,10720,42750,4510,4060,9485,40.7,42,21825,21620,205,21825,21135,690,21745,17715,4030,3595,22875,6245,5640,6000,2855,2130
129,3550, Hamilton-Niagara Peninsula,3525,"Hamilton, Census division (CDR)",3525005,Hamilton,569353,233564,509.1,1118.31,569350,91240,373820,31795,36405,104290,41.5,40.8,222805,217400,5410,222805,208980,13825,221115,169815,51305,46570,190280,47920,76225,34950,14965,16215
130,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526003,Fort Erie,32901,15875,197.9,166.24,32900,4405,19530,1620,1515,8970,47.2,51.6,14080,13990,85,14080,13675,410,13995,11295,2695,2510,10475,4030,3130,2235,465,625
131,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526011,Port Colborne,20033,10219,164.2,121.99,20030,2635,12020,980,920,5380,47.2,50.4,8710,8640,70,8710,8410,305,8650,6885,1765,1640,6810,2560,1915,1520,340,480
132,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526014,Wainfleet,6887,3116,31.7,217.53,6885,1100,4340,360,360,1445,43.8,47.2,2615,2590,25,2615,2550,65,2485,2160,325,300,2500,550,860,670,240,180
133,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526021,West Lincoln,15454,5422,39.9,387.02,15455,3125,9645,985,855,2690,40.1,40.8,5295,5235,60,5295,5100,195,5030,4305,725,655,5790,1375,1695,1675,570,480
134,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526028,Pelham,18192,7123,144,126.35,18190,2720,10510,985,910,4960,46.5,50.4,6960,6925,30,6960,6835,130,6850,5825,1025,945,5580,1815,2235,860,285,380
135,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526032,Welland,55750,24530,686.9,81.16,55750,8310,34600,2895,3110,12840,44.1,45.2,23655,23480,175,23655,22805,850,23585,18430,5150,4795,18675,6455,6890,3390,840,1095
136,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526037,Thorold,23816,9856,285.9,83.29,23820,4015,16065,1470,1850,3735,39.5,37.2,9095,8950,145,9095,8680,415,9050,7015,2040,1790,8225,2545,3595,900,535,650
137,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526043,Niagara Falls,94415,39778,449.1,210.25,94415,13895,59860,5125,5515,20660,43.9,44.8,37790,37275,515,37790,36070,1720,37600,28855,8745,8090,29290,11985,11395,3220,1010,1675
138,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526047,Niagara-on-the-Lake,19088,8578,145.3,131.35,19090,2100,10085,835,895,6905,51.3,57.2,7855,7810,50,7855,7715,145,7645,6150,1500,1335,4700,1860,1695,620,180,340
139,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526053,St. Catharines,136803,61977,1422.1,96.2,136805,19350,85590,6945,8510,31865,44.3,44.8,58905,58135,765,58905,56445,2460,58620,44650,13970,12810,44635,18475,16450,5525,1660,2520
140,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526057,Lincoln,25719,9826,158,162.74,25720,4265,15710,1400,1355,5740,43.6,44.4,9555,9540,15,9555,9295,260,9325,7920,1405,1285,8905,3020,2920,1735,605,640
141,3550, Hamilton-Niagara Peninsula,3526,"Niagara, Regional municipality (RM)",3526065,Grimsby,28883,11626,420.4,68.71,28880,4680,18040,1675,1445,6165,43.5,45.2,11395,11330,65,11395,11150,240,11340,9155,2180,2015,9860,2845,3365,2115,695,840
142,3550, Hamilton-Niagara Peninsula,3528,"Haldimand-Norfolk, Census division (CDR)",3528018,Haldimand County,49216,20710,39.4,1250.45,49215,8630,30470,2740,2460,10115,42.5,43.6,18720,18555,165,18720,18105,615,18110,15060,3050,2845,18855,5335,4420,4435,2470,2195
143,3550, Hamilton-Niagara Peninsula,3528,"Haldimand-Norfolk, Census division (CDR)",3528035,New Credit (Part) 40A,166,58,32.7,5.08,165,40,100,20,10,25,36.2,34,50,55,0,50,50,0,,,,,35,30,0,10,0,0
144,3550, Hamilton-Niagara Peninsula,3528,"Haldimand-Norfolk, Census division (CDR)",3528037,Six Nations (Part) 40,,,,30.59,,,,,,,,,,,,,,,,,,,,,,,,
145,3550, Hamilton-Niagara Peninsula,3528,"Haldimand-Norfolk, Census division (CDR)",3528052,Norfolk County,67490,30085,42.2,1597.68,67490,10290,39755,3460,3195,17450,45.5,48.8,27595,27415,180,27595,26695,905,26845,22665,4180,3820,23740,7600,7720,4490,1815,2120
146,3550, Hamilton-Niagara Peninsula,3529,"Brant, Census division (CDR)",3529005,Brant,39474,14778,48.3,817.66,39475,6705,24720,2330,2110,8045,42.8,44,14330,14245,80,14330,13910,420,13820,11795,2025,1815,14825,3925,5745,2745,1225,1185
147,3550, Hamilton-Niagara Peninsula,3529,"Brant, Census division (CDR)",3529006,Brantford,104688,43269,1061.2,98.65,104690,17970,66925,5930,6195,19800,41.4,40.8,41675,41020,655,41675,39490,2185,41570,32250,9320,8700,38205,15815,10315,6310,2980,2785
148,3550, Hamilton-Niagara Peninsula,3529,"Brant, Census division (CDR)",3529020,Six Nations (Part) 40,,,,157.7,,,,,,,,,,,,,,,,,,,,,,,,
149,3550, Hamilton-Niagara Peninsula,3529,"Brant, Census division (CDR)",3529021,New Credit (Part) 40A,609,203,30.3,20.1,610,150,375,50,30,85,37.2,39.6,200,195,0,200,175,30,0,0,0,0,135,30,55,25,15,0
150,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530004,North Dumfries,10619,3768,56.5,188.09,10620,1940,6905,715,600,1775,40.9,42.4,3690,3675,20,3690,3605,85,3610,3155,460,400,4005,1100,1510,930,255,210
151,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530010,Cambridge,138479,53013,1225.5,112.99,138480,24475,91845,8455,8325,22160,40,39.2,51270,49980,1285,51270,48270,2995,51170,40325,10845,10105,51550,16690,18540,8900,3480,3935
152,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530013,Kitchener,256885,103388,1877.6,136.81,256885,44905,174175,14225,16410,37810,39,37.2,99815,96320,3490,99815,92815,7000,99445,76255,23190,21315,89925,26845,40385,12435,4360,5895
153,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530016,Waterloo,121436,52049,1895.8,64.06,121435,17640,85080,8250,14110,18705,39.2,36,47040,46065,975,47040,44440,2600,46630,35415,11210,9355,34345,12645,14215,4420,1155,1915
154,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530020,Wilmot,21429,8035,81.2,263.81,21430,4020,12895,1350,1020,4510,42,42.8,7890,7865,30,7890,7725,170,7705,6800,905,825,7515,2130,3410,1380,250,345
155,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530027,Wellesley,11318,3444,40.8,277.74,11315,2775,6955,965,725,1590,36.5,35.2,3370,3300,65,3370,3175,190,3005,2670,330,285,3595,1175,1415,740,140,125
156,3540, Kitchener-Waterloo-Barrie,3530,"Waterloo, Regional municipality (RM)",3530035,Woolwich,26999,9556,82.7,326.56,26995,5610,16640,1735,1435,4750,39.7,39.6,9360,9230,130,9360,9120,240,9075,7830,1245,1170,9660,3770,3905,1305,255,425
157,3580, Stratford-Bruce Peninsula,3531,"Perth, County (CTY)",3531011,Stratford,33232,15388,1107,30.02,33230,4800,20490,1705,1680,7940,44.8,46,14745,14655,85,14745,14270,480,14710,11785,2920,2715,12420,7775,2265,1120,715,535
158,3580, Stratford-Bruce Peninsula,3531,"Perth, County (CTY)",3531013,Perth South,3776,1454,9.6,391.88,3775,630,2420,250,230,730,42.3,44.8,1400,1390,10,1400,1380,15,1155,995,160,145,1530,725,425,230,90,60
159,3580, Stratford-Bruce Peninsula,3531,"Perth, County (CTY)",3531016,St. Marys,7386,3216,593.8,12.44,7390,1065,4365,405,325,1955,46.1,48.4,3130,3110,20,3130,3060,70,3120,2745,375,360,2835,1505,695,365,160,110
160,3580, Stratford-Bruce Peninsula,3531,"Perth, County (CTY)",3531025,West Perth,9038,3567,15.6,578.88,9040,1780,5550,555,490,1710,40.8,40,3435,3420,15,3435,3345,90,3075,2685,390,380,3840,1460,1420,570,160,225
161,3580, Stratford-Bruce Peninsula,3531,"Perth, County (CTY)",3531030,Perth East,12595,4266,17.7,711.93,12595,2910,7690,925,800,1990,37.8,36.4,4110,4010,105,4110,3955,160,3460,2975,485,460,4910,1995,1670,880,190,185
162,3580, Stratford-Bruce Peninsula,3531,"Perth, County (CTY)",3531040,North Perth,15538,6171,31.5,493.09,15540,3285,9345,875,860,2910,39.6,37.6,5955,5860,100,5955,5715,245,5525,4490,1030,980,6315,3215,1290,895,575,345
163,3560, London,3532,"Oxford, County (CTY)",3532002,Norwich,11151,3892,26.3,424.01,11150,2640,6795,805,685,1720,37.5,36,3765,3715,45,3765,3630,130,3450,3020,435,405,4285,1445,1585,770,295,185
164,3560, London,3532,"Oxford, County (CTY)",3532004,Tillsonburg,18615,8494,838.6,22.2,18615,2630,10535,965,895,5450,46.9,49.2,8230,8190,40,8230,7970,255,8195,6745,1450,1325,6450,3295,1395,960,410,375
165,3560, London,3532,"Oxford, County (CTY)",3532012,South-West Oxford,7583,2708,20.5,369.61,7585,1595,4725,540,435,1260,39.4,39.6,2620,2585,35,2620,2550,70,2360,2050,310,290,2905,990,1015,605,190,105
166,3560, London,3532,"Oxford, County (CTY)",3532018,Ingersoll,13693,5627,1075.3,12.73,13695,2495,8855,780,750,2340,40.9,40.8,5465,5455,10,5465,5320,150,5465,4580,885,830,5115,1710,1710,975,435,280
167,3560, London,3532,"Oxford, County (CTY)",3532027,Zorra,8628,3284,16.3,529.19,8630,1710,5360,450,405,1560,40.6,40.8,3160,3150,15,3160,3105,60,2710,2430,285,255,3275,830,1275,800,225,150
168,3560, London,3532,"Oxford, County (CTY)",3532038,East Zorra-Tavistock,7841,3055,32.4,241.96,7840,1385,4855,415,430,1600,42.2,42.4,2980,2955,25,2980,2900,70,2755,2395,360,330,3175,1070,1135,620,180,170
169,3560, London,3532,"Oxford, County (CTY)",3532042,Woodstock,46705,19528,827.2,56.46,46705,8235,29325,2485,2455,9150,41.6,40.8,18885,18685,205,18885,18175,710,18850,14780,4070,3820,17830,9055,3280,3110,1420,970
170,3560, London,3532,"Oxford, County (CTY)",3532045,Blandford-Blenheim,7565,2857,19.8,382.03,7565,1325,4925,450,390,1315,41.3,42.8,2780,2770,10,2780,2720,60,2575,2275,300,285,2970,600,1110,875,175,210
171,3560, London,3534,"Elgin, County (CTY)",3534005,Bayham,7096,2435,29,244.6,7095,1790,4250,620,415,1060,36.6,34.4,2265,2185,80,2265,2090,175,2125,1750,380,345,2385,535,855,500,220,270
172,3560, London,3534,"Elgin, County (CTY)",3534010,Malahide,9308,3178,23.6,394.27,9310,2180,5680,670,585,1450,37.9,37.2,3015,2950,65,3015,2875,135,2775,2410,365,345,3600,1125,1315,675,265,225
173,3560, London,3534,"Elgin, County (CTY)",3534011,Aylmer,7699,3177,1208.6,6.37,7700,1560,4590,460,445,1550,40.6,39.2,3065,3040,25,3065,2965,100,3070,2470,595,545,2970,1215,890,525,205,135
174,3560, London,3534,"Elgin, County (CTY)",3534020,Central Elgin,13746,5845,49.1,279.87,13745,1995,8595,740,620,3155,45.3,48.8,5460,5430,35,5460,5350,110,5315,4625,690,610,5120,1580,1980,1035,330,205
175,3560, London,3534,"Elgin, County (CTY)",3534021,St. Thomas,42840,18596,1203.2,35.61,42840,7155,26570,2375,2205,9115,43,43.6,18060,17945,115,18060,17530,530,18035,14600,3435,3280,15205,7585,3620,2780,725,490
176,3560, London,3534,"Elgin, County (CTY)",3534024,Southwold,4851,1760,16.1,301.38,4850,885,3010,300,220,950,42.3,44,1710,1710,0,1710,1670,45,1565,1465,100,100,1820,560,740,380,95,35
177,3560, London,3534,"Elgin, County (CTY)",3534030,Dutton/Dunwich,4152,1677,14.1,294.38,4150,725,2600,210,210,825,42.7,44,1595,1580,20,1595,1565,35,1475,1305,170,140,1640,440,345,530,210,115
178,3560, London,3534,"Elgin, County (CTY)",3534042,West Elgin,5060,2221,15.7,322.09,5060,740,3100,250,260,1225,45.3,48.8,2105,2090,10,2105,2035,75,1925,1675,250,230,1815,610,365,340,345,160
179,3570, Windsor-Sarnia,3536,"Chatham-Kent, Census division (CDR)",3536020,Chatham-Kent,103988,46752,42.4,2451.9,103985,16550,62900,5790,5505,24535,44.3,46.4,44025,43685,340,44025,42505,1530,42760,36045,6710,6240,36460,17780,9735,5270,1795,1885
180,3570, Windsor-Sarnia,3536,"Chatham-Kent, Census division (CDR)",3536029,Moravian 47,328,169,26,12.62,330,65,200,20,20,60,41.4,44.8,150,150,0,150,140,10,0,0,0,0,100,50,15,15,10,10
181,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537001,Pelee,230,374,5.6,41.03,230,20,130,5,5,85,54.8,60.4,115,115,0,115,115,0,,,,,75,50,20,0,0,0
182,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537003,Leamington,29680,11219,113.6,261.24,29680,5205,18445,1850,1870,6030,41.8,41.2,10545,10275,275,10545,9745,800,10415,8470,1940,1785,10730,5990,2810,885,755,290
183,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537013,Kingsville,22119,8635,89.9,246.08,22120,3575,13465,1280,1145,5080,43.8,45.2,8285,8220,70,8285,8020,265,8095,7170,920,845,8185,3080,2595,1770,590,145
184,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537016,Essex,21216,8880,76.4,277.53,21215,3245,13315,1175,1160,4650,44.1,46.8,8390,8355,30,8390,8150,240,8240,7245,995,890,7950,1935,3285,2160,465,100
185,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537028,Amherstburg,23524,9548,128,183.76,23525,3730,14820,1400,1325,4975,43.4,45.6,9200,9135,65,9200,8975,225,9075,7875,1200,1130,8690,2250,3230,2600,440,170
186,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537034,LaSalle,32721,11922,503.7,64.96,32720,5520,21160,2300,2025,6045,42,44,11645,11525,115,11645,11310,330,11600,10340,1260,1130,10590,3285,6090,880,195,140
187,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537039,Windsor,229660,99803,1572.8,146.02,229660,36640,150375,13520,16380,42645,41.4,40.8,94270,91580,2690,94270,88220,6050,93855,74020,19835,18085,69435,27740,31125,6335,2500,1735
188,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537048,Tecumseh,23300,9111,246.3,94.59,23300,3555,14370,1400,1290,5375,44.7,47.6,8945,8890,60,8945,8755,195,8905,7900,1000,895,7720,2700,3910,825,135,150
189,3570, Windsor-Sarnia,3537,"Essex, County (CTY)",3537064,Lakeshore,40410,14954,76.4,529,40410,7325,26345,2915,2375,6735,40.8,42.8,14385,14220,165,14385,14015,370,14035,12450,1585,1455,14830,3640,6665,3795,530,200
190,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538003,St. Clair,14659,6528,23.7,618.57,14660,2485,8865,800,675,3310,43.5,44.8,6020,6005,20,6020,5905,120,5665,5095,570,525,5440,1785,2645,760,95,155
191,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538004,Walpole Island 46,,,,137.43,,,,,,,,,,,,,,,,,,,,,,,,
192,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538007,Dawn-Euphemia,1968,824,4.4,445.14,1970,375,1180,115,95,410,42.3,43.6,765,750,10,765,760,10,550,480,70,60,645,160,210,135,80,60
193,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538015,Brooke-Alvinston,2359,983,7.6,311.41,2360,435,1460,145,155,460,41.1,41.6,915,895,25,915,880,35,745,660,85,85,830,195,280,200,90,65
194,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538016,Enniskillen,2825,1087,8.4,338.05,2825,475,1690,160,145,660,44.5,47.2,1040,1035,0,1040,1015,25,875,790,85,65,1075,390,340,255,50,30
195,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538018,Oil Springs,647,283,79.5,8.14,645,110,425,30,35,115,41.6,40.8,270,260,0,270,270,0,270,260,0,0,295,80,95,80,15,20
196,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538019,Petrolia,6013,2524,482.6,12.46,6010,1060,3515,325,280,1440,43.3,42.8,2460,2445,15,2460,2425,35,2455,2175,285,275,2160,895,820,340,45,55
197,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538025,Sarnia 45,648,278,51.5,12.58,650,125,425,40,55,90,38.9,38.8,260,260,0,260,245,20,0,0,0,0,185,125,40,10,0,10
198,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538030,Sarnia,72047,33902,439.6,163.9,72045,10575,43790,3565,3945,17680,44.8,46,32190,31990,200,32190,31225,965,32030,26275,5750,5335,24110,13385,7975,1665,440,645
199,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538031,Point Edward,1930,989,585,3.3,1930,220,1095,80,80,620,50,55.2,940,935,0,940,935,10,940,840,100,90,670,445,160,35,10,20
200,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538035,Plympton-Wyoming,8308,3513,26.1,318.86,8310,1470,5005,485,400,1830,43,45.6,3175,3160,15,3175,3135,35,2960,2680,275,225,3025,720,1635,490,85,100
201,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538040,Lambton Shores,11876,7211,35.9,330.57,11875,1460,6560,480,450,3855,49.9,56.8,5300,5295,0,5300,5200,105,5135,4420,720,675,3770,1485,855,710,275,440
202,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538043,Warwick,3641,1425,12.5,290.21,3645,705,2220,215,205,715,41.1,41.6,1355,1345,10,1355,1330,25,1215,1040,170,160,1415,450,530,260,120,50
203,3570, Windsor-Sarnia,3538,"Lambton, County (CTY)",3538056,Kettle Point 44,1233,775,132.3,9.32,1235,220,750,85,75,260,42.4,45.2,510,500,10,510,475,35,0,0,0,0,295,160,45,40,20,35
204,3560, London,3539,"Middlesex, County (CTY)",3539002,Newbury,440,195,248.6,1.77,440,65,285,30,25,90,43.9,47.2,195,195,0,195,195,0,195,170,20,20,200,65,40,35,30,20
205,3560, London,3539,"Middlesex, County (CTY)",3539005,Southwest Middlesex,5893,2503,13.8,427.82,5895,1035,3605,305,235,1255,43.2,44.8,2400,2395,10,2400,2325,75,2205,1915,290,270,2200,570,540,570,350,180
206,3560, London,3539,"Middlesex, County (CTY)",3539015,Strathroy-Caradoc,23871,9695,88.1,270.86,23870,4005,14730,1315,1230,5135,43,43.6,9450,9410,40,9450,9195,260,9300,8005,1295,1220,9215,4095,2150,2025,530,415
207,3560, London,3539,"Middlesex, County (CTY)",3539017,Chippewas of the Thames First Nation 42,,,,42.49,,,,,,,,,,,,,,,,,,,,,,,,
208,3560, London,3539,"Middlesex, County (CTY)",3539018,Munsee-Delaware Nation 1,129,64,11.5,11.19,130,25,85,10,15,20,38.4,38,50,50,0,50,40,10,,,,,40,15,10,20,0,0
209,3560, London,3539,"Middlesex, County (CTY)",3539021,Oneida 41,,,,22.14,,,,,,,,,,,,,,,,,,,,,,,,
210,3560, London,3539,"Middlesex, County (CTY)",3539027,Thames Centre,13980,5316,32.2,433.99,13980,2405,8905,885,725,2670,42.7,45.2,5185,5165,20,5185,5070,115,4880,4330,550,495,5225,1455,2275,1030,205,255
211,3560, London,3539,"Middlesex, County (CTY)",3539033,Middlesex Centre,18928,6845,32.2,588.16,18925,3650,11705,1260,900,3575,41.6,43.6,6695,6665,25,6695,6640,60,6300,5510,785,730,6425,1460,2955,1505,305,205
212,3560, London,3539,"Middlesex, County (CTY)",3539036,London,422324,186409,1004.3,420.5,422320,69020,278240,23920,30825,75070,40.7,38.8,174655,170090,4570,174655,164170,10485,173520,131505,42015,37610,138155,47460,59460,18880,6005,6345
213,3560, London,3539,"Middlesex, County (CTY)",3539041,North Middlesex,6307,2481,10.5,598.65,6310,1150,3785,370,305,1370,42.9,44,2390,2390,0,2390,2340,55,2080,1820,255,230,2465,655,755,565,320,160
214,3560, London,3539,"Middlesex, County (CTY)",3539047,Adelaide-Metcalfe,3011,1056,9.1,331.11,3010,600,1845,180,155,570,41.7,43.2,1015,1015,0,1015,985,30,860,750,110,95,1210,445,345,240,115,65
215,3560, London,3539,"Middlesex, County (CTY)",3539060,Lucan Biddulph,5680,2172,33.6,169.08,5680,1205,3605,305,265,870,38.5,37.6,2115,2105,10,2115,2075,40,1970,1745,230,215,2205,455,680,770,165,140
216,3580, Stratford-Bruce Peninsula,3540,"Huron, County (CTY)",3540005,South Huron,10063,4722,23.7,425.12,10065,1520,5645,455,455,2900,46.6,50,4340,4310,25,4340,4245,90,4155,3480,680,625,3715,1730,940,535,285,225
