,AIRPORT_TYPE,NAME,AIRPORT_IDENT,LATITUDE,LONGITUDE
114,Airport,North Bay,CYYB,46.3649565,79.4239864
115,Airport,Arnstein,CNR9,45.9254324,79.9279383
116,Hospital Heliport,Sturgeon Falls (West Nipissing General Hospital),CNM3,46.373014899999994,79.91671159999999
117,Hospital Heliport,New Liskeard (Temiskaming Hospital),CNV3,47.4950201,79.6929126
118,Airport,Gore Bay-Manitoulin,CYZE,45.8838219,82.5698088
119,Hospital Heliport,Mindemoya (Hospital),CNW4,45.738889,82.16666670000001
120,Hospital Heliport,Little Current (Manitoulin Health Centre),CNT4,45.978632,81.92643149999999
121,Airport,Manitowaning/Manitoulin East Muni,CYEM,45.841610100000004,81.85921540000001
122,Airport,Killarney,CPT2,45.9787085,81.4923441
123,Airport,Sudbury/Coniston,CSC9,46.4813892,80.8341542
124,Airport,Sudbury,CYSB,46.628105700000006,80.7978332
125,Airport,Elk Lake,CPE3,47.7295122,80.3149702
126,Airport,Earlton (Timiskaming Regional),CYXR,47.6954641,79.85021280000001
127,Hospital Heliport,Englehart (District Hospital),CNS3,47.8230073,79.8799939
128,Airport,Kirkland Lake,CYKX,48.2099771,79.9783585
129,Airport,Timmins/Victor M. Power,CYTS,48.5714223,81.3696907
130,Airport,Chapleau,CYLD,47.821340899999996,83.3526835
131,Hospital Heliport,Toronto (Sunnybrook Medical Centre),CNY8,43.7228757,79.3736935
132,Hospital Heliport,Toronto (Hospital For Sick Children),CNW8,43.6572856,79.3875453
133,Airport,Toronto/ Billy Bishop Toronto City Airport,CYTZ,43.626158000000004,79.3967253
134,Heliport,Toronto/Wilson`s,CPY5,43.6177669,79.5648402
135,Airport,Toronto/Lester B. Pearson Intl,CYYZ,43.6775546,79.6303834
136,Heliport,Toronto/Tarten,CPA5,43.6535347,79.6584318
137,Hospital Heliport,Toronto (Mississauga Credit Valley Hospital),CPK6,43.5614533,79.70290159999999
138,Hospital Heliport,Oakville (Trafalgar Memorial Hospital),CPE8,43.484485799999995,79.6673407
139,Airport,Burlington Executive,CZBA,43.4418401,79.850497
140,Hospital Heliport,Milton (District Hospital),CPY2,43.4967201,79.8689712
141,Hospital Heliport,Georgetown (Georgetown & District Hospital),CNZ6,43.64477539999999,79.9338302
142,Airport,Brampton,CNC3,43.75897379999999,79.87456170000002
143,Airport,Wiarton,CYVV,44.744946999999996,81.1049865
144,Airport,Owen Sound/Billy Bishop Regional,CYOS,44.5916239,80.8378151
