,AIRPORT_TYPE,NAME,AIRPORT_IDENT,LATITUDE,LONGITUDE
231,Airport,Manitouwadge,CYMG,49.078601899999995,85.8668908
232,Airport,Kapuskasing,CYYU,49.4108523,82.4677698
233,Airport,Hearst (René Fontaine) Muni,CYHF,49.714644,83.6898213
234,Airport,Carey Lake,CNX3,49.7446502,84.0310748
235,Airport,Iroquois Falls,CNE4,48.7418471,80.7930058
236,Airport,Cochrane,CYCN,49.107599,81.0127309
237,Airport,Moosonee,CYMO,51.2928539,80.60729029999999
238,Heliport,Moose Factory,CPN3,51.2521866,80.61794920000001
239,Airport,Fort Albany,CYFA,52.203545399999996,81.6869057
240,Airport,Kashechewan,CZKE,52.282747,81.6758796
241,Airport,Attawapiskat,CYAT,52.927395499999996,82.4314881
242,Airport,Peawanuck,CYPO,54.9898728,85.4402178
243,Airport,Fort Severn,CYER,56.018518500000006,87.67630229999999
244,Hospital Heliport,Marathon (Wilson Memorial Hospital),CPX2,48.7184489,86.3752637
245,Airport,Marathon,CYSP,48.7589653,86.3435803
246,Hospital Heliport,Nipigon (District Memorial Hospital),CKE9,49.0160836,88.2785588
247,Hospital Heliport,Beardmore (Health Centre),CPY3,49.610169,87.9521027
248,Hospital Heliport,Geraldton (District Hospital),CPJ4,49.723581200000005,86.9564355
249,Airport,Geraldton (Greenstone Regional),CYGQ,49.7774536,86.93667509999999
250,Airport,Nakina,CYQN,50.1784063,86.69403709999999
251,Airport,Ogoki Post,CNT3,51.65827120000001,85.9021801
252,Airport,Fort Hope,CYFH,51.5616416,87.9087358
253,Airport,Miminiska,CPS5,51.6042245,88.5825828
254,Airport,Lansdowne House,CYLH,52.1959441,87.9333061
255,Airport,Summer Beaver,CJV7,52.71091750000001,88.5425138
256,Airport,Webequie,CYWP,52.958648,87.3746306
257,Airport,Kasabonika,CYAQ,53.524786,88.6427184
258,Heliport,Armstrong,CPE9,50.3073214,89.029206
259,Airport,Armstrong,CYYW,50.2906275,88.91077800000001
260,Heliport,Upsala,CKL8,49.050278000000006,90.469167
261,Airport,Kakabeka Falls,CKG8,48.4196931,89.59743309999999
262,Airport,Thunder Bay,CYQT,48.3730774,89.3234975
263,Hospital Heliport,Thunder Bay (Health Science Centre),CTB2,48.424479,89.26916170000001
264,Hospital Heliport,Atikokan (General Hospital),CKF3,48.7553463,91.59688359999998
265,Airport,Atikokan Muni,CYIB,48.7719471,91.6369882
266,Airport,Fort Frances Muni,CYAG,48.6555574,93.4417261
267,Airport,Nestor Falls,CJA5,49.140210700000004,93.91706409999999
268,Airport,Sioux Narrows,CKM2,49.389992799999995,93.99639499999999
269,Airport,Kenora,CYQK,49.7893856,94.3618927
270,Hospital Heliport,Kenora (Lake Of The Woods District Hospital),CJG6,49.7681364,94.499142
271,Heliport,Ignace,CJN3,49.4075316,91.6348828
272,Airport,Ignace Muni,CZUC,49.428851,91.717309
273,Airport,Dryden Regional,CYHD,49.830617600000004,92.7430941
274,Heliport,Dryden Best Western,CKV3,49.7874097,92.8339234
275,Airport,Eagle River,CKX3,49.758908899999994,93.1432286
276,Airport,Vermilion Bay,CKQ7,49.882032,93.436299
277,Airport,Sioux Lookout,CYXL,50.1179505,91.904074
278,Airport,De Lesseps Lake,CKF9,50.7176059,90.6839431
279,Airport,Slate Falls,CKD9,51.13037,91.66635
280,Airport,Pickle Lake,CYPL,51.4449052,90.21941190000001
281,Airport,Cat Lake,CYAC,51.7271554,91.8251412
282,Airport,Opapimiskan Lake,CKM8,52.60890989999999,90.3768484
283,Airport,Kingfisher Lake,CNM5,53.012310600000006,89.85423540000001
284,Airport,Wunnumin Lake,CKL3,52.8929608,89.2888733
285,Airport,Round Lake (Weagamow Lake),CZRJ,52.9453686,91.311098
286,Airport,Muskrat Dam,CZMD,53.4414948,91.7627486
287,Airport,Sachigo Lake,CZPB,53.890574,92.1956781
288,Airport,Bearskin Lake,CNE3,53.9663372,91.0251303
289,Airport,Big Trout Lake,CYTL,53.8179546,89.8969184
290,Airport,Angling Lake/Wapekeka,CKB6,53.84784200000001,89.5765943
291,Airport,Elliot Lake Muni,CYEL,46.3518716,82.5619099
292,Airport,Thessalon Muni,CPL5,46.31634329999999,83.532617
293,Airport,St. Joseph Island,CPV3,46.2817365,83.9495053
294,Airport,Bar River,CPF2,46.4195136,84.09756490000001
295,Heliport,Sault Ste. Marie,CNR3,46.504745299999996,84.323921
296,Airport,Sault Ste. Marie,CYAM,46.485832099999996,84.50645209999999
297,Airport,Springwater (Barrie Airpark),CNA3,44.4078823,79.7311998
298,Heliport,Toronto/Cardinal Couriers,CPL8,43.6313889,79.6647222
299,Seaplane Base,Grand River,CNC6,43.086111100000004,80.0516667
300,Seaplane Base,Constance Lake,CNQ5,45.4027778,75.97555559999999
301,Seaplane Base,Combermere/Kamaniskeg Lake,CNP5,45.3833333,77.65
302,Seaplane Base,Haliburton,CNF6,45.0083333,78.5666667
